file,vowel,F1,F2,F3,file,vowel,F1,F2,F3,file,vowel,F1,F2,F3,file,vowel,F1,F2,F3
cachtach,a,657.2013124,1497.824729,2637.141711,cachtach,,,,,cachtach,a,654.8799067,1443.582047,2942.084769,cachtach,ə,518.8622888,1239.256111,2511.186153
cata-2,a,615.0707703,1797.127033,2942.720313,cata-2,ə,342.8281495,1683.742275,3001.90906,cata-2,a,478.5458497,1816.784148,2855.470739,cata-2,ə,418.9547608,1788.389437,2927.797202
cata-3,a,817.5548391,1959.471691,3046.682624,cata-3,ə,509.5271034,1809.300661,2937.600871,cata-3,a,600.8142671,1691.867974,2876.990225,cata-3,ə,390.7912952,1494.022531,2742.481983
cata,a,408.2324927,1730.200904,2835.817979,cata,ə,371.4439648,1805.917298,3094.937281,cata,a,564.366401,1718.838619,2971.858516,cata,ə,314.2740765,1760.70513,2676.746407
catach-2,ə,432.6239363,1407.679401,2574.582344,catach-2,a,553.4298607,1248.83839,2849.361056,catach-2,ə,611.4295899,1361.006087,2863.051353,catach-2,ə,471.8201603,1068.887579,2649.14166
catach-3,ə,442.222766,1361.363792,2559.065424,catach-3,a,724.0776731,1662.641632,2580.302558,catach-3,ə,375.2518827,1270.8738,2518.954441,catach-3,a,558.9230466,1297.829022,2533.739091
catach-4,ə,508.587706,1632.932197,2932.193921,catach-4,a,688.7054337,1521.795823,2680.223455,catach-4,ə,469.0944285,1357.304261,2696.279881,catach-4,a,732.2208943,1738.61018,2758.063643
catach,ə,537.3240874,1271.768116,3103.208055,catach,a,693.1110758,1805.075659,3036.035712,catach,ə,479.8785504,1432.378292,2694.211287,catach,ə,582.5052692,1473.283628,2577.304714
coocoo-2,o:,578.1151634,1439.949286,2643.817517,coocoo-2,o:,550.559294,1596.97713,2678.251644,coocoo-2,o:,424.3065023,1144.092862,2475.515427,coocoo-2,o,475.4704697,1253.055938,2936.419863
coocoo-3,o:,631.3583941,1638.80565,2428.458741,coocoo-3,o,492.5090809,1326.99792,2416.91439,coocoo-3,o:,470.4997234,1331.000776,2484.599336,coocoo-3,o,428.7293398,1178.548298,2519.364965
coocoo,o:,499.8860154,1213.653659,2389.753653,coocoo,o,451.5276379,1076.656426,2966.282962,coocoo,o:,433.6967078,1207.954608,2455.11625,coocoo,o,455.6477877,1207.03355,2911.896893
coota-2,o:,546.1431926,1372.757077,2361.3453,coota-2,ə,520.0429736,1494.635989,2801.238254,,,,,,,,,,
coota-3,o:,535.7138904,1395.544487,2427.718043,coota-3,ə,536.9866002,1430.274024,2797.94244,coota-3,o:,588.2695106,1536.801632,2527.072911,coota-3,ə,541.109332,1725.812151,3020.388693
cootə,o:,535.2776407,1378.144879,2796.235891,cootə,ə,522.900937606394,1230.65339853029,2924.22918687031,cootə,o:,461.6122688,959.3697356,2230.78862,cootə,ə,456.0047135,1329.192273,2897.091899
cupa-2,ə,438.5343202,1253.46904,2581.064616,cupa-2,ə,711.4516688,1755.010319,2979.587408,cupa-2,ə,402.1913984,1164.661871,2713.072753,cupa-2,ə,505.6642253,1338.859116,2848.618865
cupa-3,ə,619.2046772,1550.308555,2771.609534,cupa-3,ə,591.8673449,1611.545752,2684.175972,cupa-3,ə,581.4162987,1556.201532,2719.26425,cupa-3,ə,719.2351299,1807.762242,2964.542135
cupa,ə,586.5346771,1383.271442,2878.610356,cupa,ə,473.8977275,1420.052471,2874.276031,cupa,ə,439.0143577,1349.789556,2808.353714,cupa,ə,484.8438421,1350.490758,2841.974484
cuthach-2,ə,784.2273891,1799.804577,2791.778629,cuthach-2,a,777.5983594,1645.327561,2908.014768,cuthach-2,ə,367.5840852,1354.605676,2653.744169,cuthach-2,ə,598.0380429,1357.061534,2611.816113
cuthach,ə,1044.885813,2022.491233,3121.775037,cuthach,a,636.5597791,1351.962267,2837.272442,cuthach,ə,535.1017753,1557.338047,2877.017254,cuthach,ə,562.4448272,1279.128185,2709.087455
daata-2,a:,618.3992156,1571.581408,2627.056138,daata-2,ə,349.222347,1267.499631,2483.981927,daata-2,a:,560.4207841,1438.516897,2717.285677,daata-2,ə,354.4053813,1354.384442,2818.781783
daata-3,a:,601.2871639,1677.249599,2667.265441,daata-3,ə,342.0704705,1237.446646,2547.492088,daata-3,a:,581.4785105,1361.71502,2525.738579,daata-3,ə,519.4980315,1592.57509,2958.452551
daata,a:,561.1901161,1313.649952,2629.43146,daata,ə,423.3629032,1531.011077,2919.959806,daata,a:,518.0245945,1309.340678,2480.54427,daata,ə,463.116248,1149.573916,2800.073367
daatii-2,a:,600.8118046,1575.529903,2662.375988,daatii-2,i,326.4706855,1834.660855,2854.692447,daatii-2,a:,501.3499633,1372.401041,2617.339645,daatii-2,i:,354.2674069,1722.259209,2866.288985
daatii-3,a:,598.2320794,1533.353663,2588.01776,daatii-3,i,306.5883628,2032.621767,2987.529032,daatii-3,a:,537.3146324,1384.755295,2588.024462,daatii-3,i:,308.015302,1810.953012,2912.028163
daatii,a:,562.8928125,1320.5714,2686.885466,daatii,i:,281.4014918,2174.170662,3108.779405,daatii,a:,502.6713038,1450.812211,2891.871274,daatii,i:,319.7692431,1876.466721,3030.848078
dasach-2,æ,616.4491386,1622.391478,2710.370937,dasach-2,ə,589.7158135,1448.965589,2580.189466,dasach-2,æ,543.5989649,1554.378956,2836.240244,dasach-2,ə,517.2063711,1320.105401,2760.990532
dasach,æ,563.2817628,1596.150773,2764.600352,dasach,ə,569.7254028,1441.971901,2664.24638,dasach,æ,606.1250824,1670.796955,2908.679302,dasach,ə,541.464352,1468.480752,2826.669264
datach-2,ə,496.5152523,1682.613343,2740.308924,datach-2,a,675.9044603,1564.001761,2660.654215,datach-2,ə,445.1031954,1505.173809,2279.175987,datach-2,a,691.2946527,1532.231957,2440.584913
datach-3,ə,463.0353602,1377.930832,2922.038248,datach-3,a,828.1352428,1805.032075,2739.131522,datach-3,ə,454.9027528,1350.124164,3020.91388,datach-3,a,663.3351997,1610.271624,2841.601308
datach,ə,442.3688729,1535.936608,2785.580353,datach,a,665.8647865,1703.174848,3037.483677,datach,ə,387.02778,1360.541544,2905.717613,datach,a,635.4842199,1514.750526,2851.537078
datuu-2,æ,625.9781495,1576.260221,2723.872803,datuu-2,u:,349.2113844,1134.205737,2748.340791,datuu-2,æ,513.8621307,1529.108292,2967.165468,datuu-2,u:,346.2523071,1085.759877,2781.236798
datuu-3,æ,637.8570678,1677.834675,2931.385048,datuu-3,u:,456.9619966,1341.756979,2567.359017,datuu-3,æ,548.4071315,1563.02872,2677.046007,datuu-3,u:,389.5202048,1266.87687,2671.024024
datuu,æ,634.8057853,1640.603902,2925.172697,datuu,u:,368.0268801,1056.416775,2556.271962,datuu,æ,479.8944067,1538.079859,2925.417229,datuu,u:,356.6587938,1284.676358,2811.924063
deasach,i,398.8468659,1938.320928,2915.953304,,,,,,deasach,i,336.1454494,1780.18123,2844.947009,deasach,ə,426.4690808,1006.983716,2923.304633
diseach,i,355.1025376,1644.020473,2740.300688,diseach,ə,530.4476101,1263.724342,2535.350878,diseach,i,354.3197907,1782.091434,2907.243345,diseach,ə,512.8786109,1408.020614,2625.16908
doseach-2,o,505.4558198,1514.138909,2837.565092,doseach-2,ə,578.4300585,1579.70264,2788.445716,doseach-2,o,491.6876558,1487.963451,2787.83324,doseach-2,ə,446.6182461,1252.034172,2420.346926
doseach,o,520.9784509,1432.161945,2562.373487,doseach,ə,403.7134506,1102.111711,2400.535025,doseach,o,446.8851545,1345.811156,2574.925728,doseach,ə,486.1575131,1440.302198,2813.661191
faasach-2,a:,693.5619268,1627.436634,2636.918186,faasach-2,ə,566.5897009,1348.392518,2417.510858,faasach-2,a:,584.2992931,1345.129043,2421.771379,faasach-2,ə,367.8570412,923.2177425,3165.670358
faasach-3,a:,513.2131663,1128.012037,2509.149078,faasach-3,ə,647.0140275,1679.17845,3127.507233,faasach-3,a:,528.6940497,1232.05203,2559.499646,faasach-3,ə,463.9240318,1125.41765,2677.24746
faasach,a:,618.6895603,1279.725274,2483.849834,faasach,ə,507.9096407,960.3904617,3027.879798,faasach,a:,551.2763885,1354.292908,2458.909716,faasach,ə,524.9548329,1291.558118,2997.048729
fachtach-2,a,692.8424249,1480.996903,2694.936219,fachtach-2,ə,553.1854322,1376.975897,2353.558034,fachtach-2,a,683.9307532,1509.237537,2822.869761,fachtach-2,ə,462.6598987,1225.433641,2483.52466
fachtach-3,a,576.5653123,1297.556802,2954.710584,fachtach-3,ə,518.6248642,861.6312238,2095.918146,fachtach-3,a,716.1348248,1437.613329,2789.366067,fachtach-3,ə,583.2003352,1309.013276,2727.055459
fachtach,a,610.1497349,1286.312058,2651.854155,fachtach,ə,569.3194481,1565.744749,2841.846802,fachtach,a,556.5033933,1309.696571,2495.202601,fachtach,ə,522.5858604,1175.521421,2430.806411
fatach-2,a,607.7422605,1475.863341,2672.339002,fatach-2,ə,631.5007977,1789.798994,2844.357051,fatach-2,a,582.9603716,1569.312723,2897.10404,fatach-2,ə,484.0782935,1254.841674,2560.069125
fatach-3,a,585.807283,1520.636375,2556.563513,fatach-3,ə,604.1354207,1734.090069,2915.767362,fatach-3,a,545.3482388,1755.557932,3003.299845,fatach-3,ə,498.9853745,1322.491754,2457.406874
fatach,a,533.6247526,1516.610808,2833.241191,fatach,ə,614.365273,1567.926307,2828.156237,fatach,a,512.1972163,1545.966345,2746.062047,fatach,ə,573.7131852,1468.870171,2724.087712
fosuu-2,ə,617.1060022,1479.028328,2539.304868,fosuu-2,u:,360.4747718,1148.602638,2754.701817,fosuu-2,ə,471.3544808,1464.118369,2744.069361,fosuu-2,u:,366.4694892,1249.81378,2589.703317
fosuu-3,ə,570.1869558,1656.877644,2623.6408,fosuu-3,u:,385.3349578,1333.482455,2693.071959,fosuu-3,ə,547.4745628,1435.723202,2635.043619,fosuu-3,u:,386.2037441,1267.201261,2512.413925
fosuu,ə,450.5035793,1320.339903,2662.513818,fosuu,u:,288.7049663,1252.749256,2588.866907,fosuu,ə,464.3782394,1394.99531,2591.669027,fosuu,u:,351.6071586,1171.500961,2742.118651
gaafach-2,a:,477.936827,1366.628015,2437.463789,gaafach-2,ə,526.9476273,1224.114765,2507.37926,gaafach-2,a:,476.4352845,1450.936056,2541.099447,gaafach-2,ə,569.5726784,1340.55725,2678.792875
gaafach-3,a:,595.949204,1557.546289,2605.891775,gaafach-3,ə,618.4527732,1620.700945,2740.657797,gaafach-3,a:,679.1552032,1405.360553,2694.834664,gaafach-3,ə,730.3694724,2022.584882,3325.722053
gaafach,a:,539.917618,1356.519354,2629.220659,gaafach,ə,569.3640204,1051.274802,2534.536203,gaafach,a:,565.8081005,1158.573623,2636.009481,gaafach,ə,511.9408411,1169.853068,2693.437253
gachtoo-2,a,567.4749974,1458.523228,2747.936512,gachtoo-2,o:,466.5084927,1336.292933,2681.335452,gachtoo-2,a,716.5424736,1739.571122,2905.341187,gachtoo-2,o:,426.6343704,1168.930974,2630.416952
gachtoo-3,a,697.0509327,1614.64949,2798.399942,gachtoo-3,o:,518.8295072,1257.209996,2372.765719,gachtoo-3,a,702.455239,1598.308838,2738.708466,gachtoo-3,o:,419.6522914,1127.706963,2638.493971
gachtoo,a,505.3919943,1452.608189,2904.866157,gachtoo,o:,403.0912363,1020.712443,2741.128761,gachtoo,a,644.6759048,1499.216893,2710.956029,gachtoo,o:,434.0917287,955.4995604,3034.33553
gotach-2,ə,453.3669716,1593.067392,2936.946029,gotach-2,a,768.3157461,1606.803404,2770.694582,gotach-2,ə,424.747916,1404.3153,2857.004213,gotach-2,a,692.6769302,1745.744076,2941.164919
gotach-3,ə,514.8926715,1612.898714,3074.215322,gotach-3,a,703.7504028,1613.743557,2895.520504,gotach-3,ə,561.1971143,1664.774072,3085.921346,gotach-3,a,665.4531592,1546.268959,2811.68043
gotach,ə,413.5183094,1467.527895,3026.437276,gotach,a,730.4052469,1590.061708,2903.551095,gotach,ə,444.6404286,1412.719495,2696.796165,gotach,a,644.4375036,1483.346467,2655.042581
haca-2,a,621.9296585,1454.678358,2519.868357,haca-2,ə,393.4726977,1395.284789,2735.351574,haca-2,a,566.5494838,1520.487603,2367.961695,haca-2,ə,382.1066351,1261.857835,2667.299831
haca-3,a,610.2369784,1183.636644,2843.236574,haca-3,ə,460.0272983,1475.823713,2672.596876,haca-3,a,681.8262565,1513.369351,2765.143165,haca-3,ə,704.9748517,1973.35647,3024.47029
haca,a,510.975469,1456.292273,2683.237346,haca,ə,433.9644218,1601.065841,2971.876734,haca,a,566.5134136,1499.931749,2802.752801,haca,ə,426.9370097,1403.408451,2799.995305
hitach-2,i,296.7112594,1546.328541,3025.727999,hitach-2,ə,718.4407312,1667.423538,2855.274909,hitach-2,i,327.4642608,1598.536786,2741.823145,hitach-2,ə,566.0009148,1365.186014,2543.939094
hitach-3,i,338.4215785,1796.911688,2991.157033,hitach-3,ə,596.5599317,1625.799807,2940.865052,hitach-3,i,372.1016108,1428.303968,2733.233474,hitach-3,ə,558.1357452,1370.638515,2638.277059
hitach,i,287.4059281,1875.998543,2541.180869,hitach,ə,576.4150241,1418.566674,2628.703055,hitach,i,304.2696181,1731.577839,2516.939209,hitach,ə,581.3143955,1385.352001,2652.731647
huutach-2,u:,528.2976797,1425.492406,2398.825349,huutach-2,ə,670.2220297,1588.789952,2821.475017,huutach-2,u:,400.7422517,1356.713131,2585.149596,huutach-2,ə,560.4056596,1342.460348,2644.785578
huutach-3,u:,565.589193,1355.284588,2446.375222,huutach-3,ə,661.9443219,1653.671454,2783.91382,huutach-3,u:,425.2154175,1246.442098,2693.632669,huutach-3,ə,509.1799803,1267.877459,2623.786966
huutach,u:,370.0978931,1204.53768,2678.667586,huutach,ə,519.2642807,1316.828935,2363.039649,huutach,u:,364.5606378,1134.879598,2462.521855,huutach,ə,566.399065,1314.839299,2679.257836
leachtach-2,a,730.5985367,1669.290824,2850.04895,leachtach-2,ə,632.3074549,1577.615159,2583.435596,leachtach-2,a,561.0889103,1377.320788,2676.467976,leachtach-2,ə,572.8764707,1309.948241,2736.206462
leachtach-3,æ,792.7958779,1616.724098,2508.951701,leachtach-3,ə,564.8164161,1565.740269,2859.333086,leachtach-3,æ,786.7663706,1851.890652,3002.306452,leachtach-3,ə,554.2284717,1392.540145,2687.442712
leachtach,æ,646.3054734,1582.013048,2762.620258,leachtach,ə,643.9422941,1568.670442,2841.672169,leachtach,æ,648.6597987,1558.319952,2963.569988,leachtach,ə,415.202595,1050.178917,2514.100182
paapa-2,a,623.0967488,1157.24315,2225.47253,paapa-2,ə,463.0434183,1345.050682,2601.541232,paapa-2,a:,677.6323377,1176.205035,2238.748447,paapa-2,ə,494.3298253,1227.556638,2732.388753
paapa-3,a,682.0989798,1440.005647,2643.560661,paapa-3,ə,500.1603882,1264.962645,2682.285313,paapa-3,a:,601.8663557,1396.004665,2515.230519,paapa-3,ə,500.3985549,1545.797644,2850.972779
paapa,a,718.4180466,1433.377236,2655.900193,paapa,ə,561.6767524,1392.085862,2710.911626,paapa,a:,598.4407888,1416.049241,2391.370443,paapa,ə,412.9591339,1064.615541,2760.757943
paatii-2,a,702.598855,1681.662441,2648.634874,paatii-2,i:,310.5239598,2091.369832,3016.401688,paatii-2,a:,594.601831,1402.290621,2575.644726,paatii-2,i:,329.1550195,1763.216699,2842.227822
paatii-3,a,688.8683427,1545.624618,2470.708491,paatii-3,i:,317.3180701,2081.429075,3191.098165,paatii-3,a:,649.352074,1509.715468,2567.106574,paatii-3,i:,319.3403166,1845.538973,3032.1269
paatii,a,626.2008402,1306.887356,2568.432119,paatii,i:,301.9042177,2073.298989,3110.066882,paatii,a:,582.9113656,1185.397238,2711.777064,paatii,i:,321.1579048,2035.689749,2866.085468
pachta-2,a,951.4797319,2025.205925,3230.377324,pachta-2,ə,647.3010552,1774.816639,2988.978936,pachta-2,a,741.121795,1645.254968,2791.982491,pachta-2,ə,554.9250584,1532.420891,2900.352787
pachta-3,a,837.9869898,1708.110293,2932.360986,pachta-3,ə,668.7007363,1669.166731,2801.49792,pachta-3,a,720.5189186,1696.563643,2744.675816,pachta-3,ə,585.4101096,1689.059811,2964.114078
pachta,a,781.1006545,1775.138783,3158.960864,pachta,ə,496.4835919,1440.867016,2720.324171,pachta,a,711.0226524,1558.527764,2909.039824,pachta,ə,391.5177829,1442.126082,2756.359879
pachtach-2,a,674.6865917,1217.110731,2653.932377,pachtach-2,ə,571.3106742,1538.777525,2733.490533,pachtach-2,a,857.9623785,1837.253502,2996.692268,pachtach-2,ə,634.4138609,1679.331074,2769.207339
pachtach-3,a,763.6730809,1580.223359,2792.582799,pachtach-3,ə,649.7391847,1594.128003,2502.83406,pachtach-3,a,790.9123274,1720.013293,3044.797521,pachtach-3,ə,461.500851,1270.846929,2449.7115
pachtach,a,807.1428035,2108.838929,3020.540236,pachtach,ə,515.7569672,1142.326825,2671.549885,pachtach,a,666.152342,1538.252879,2806.879824,pachtach,ə,440.8936698,1222.076502,2650.695575
pachtii-2,a,818.4867255,1534.615486,2626.626966,pachtii-2,i:,329.4418378,1996.508546,2829.92701,pachtii-2,a,709.9386671,1594.375844,2504.625291,pachtii-2,i,377.5749409,1541.251893,2792.839626
pachtii-3,a,752.6314733,1546.269921,2687.871698,pachtii-3,i:,299.6573715,1790.601995,2676.39546,pachtii-3,a,609.1501466,1481.274787,2644.393945,pachtii-3,i,351.1876786,1912.582403,2831.069436
pachtii,a,600.8454253,1303.41689,2455.145041,pachtii,i:,355.1057411,1798.220483,2892.550271,pachtii,a,709.754502,1491.019888,2900.935863,pachtii,i,355.849195,1803.199244,2808.446865
piisa-2,i:,248.8997546,1957.983235,2972.254059,piisa-2,ə,401.721016,1260.342353,2767.294993,piisa-2,i:,262.7305265,2087.99024,3038.489618,piisa-2,ə,395.6158674,1301.53907,2795.417919
