file,shape,vowel,dur_norm,F1,F2,F3,frame,syllable,stress
caxtəx-3.TextGrid,CaxCax,ə,65.47619048,575.0398024,1349.927264,2691.800244,2,2,0
caxpə.TextGrid,CaxCV,a,54.86725664,672.764838,1655.556918,2711.700421,1,1,1
caxpə.TextGrid,CaxCV,ə,78.76106195,539.8751593,1335.618099,2780.821121,1,2,0
caxpə.TextGrid,CaxCV,a,67.90540541,591.918301,1579.300742,2790.024253,2,1,1
caxpə.TextGrid,CaxCV,ə,89.18918919,508.967398,1316.028739,2748.826161,2,2,0
caxpə-2.TextGrid,CaxCV,a,76.69616519,669.887753,1393.948128,2547.292369,1,1,1
caxpə-2.TextGrid,CaxCV,ə,157.3254671,810.4909551,1850.050497,2902.129324,1,2,0
caxpə-2.TextGrid,CaxCV,a,87.67123288,750.843179,1392.588598,2389.756052,2,1,1
caxpə-2.TextGrid,CaxCV,ə,176.7123288,584.0319165,1507.390367,2809.668905,2,2,0
caxpə-3.TextGrid,CaxCV,a,65.56016598,647.9413289,1608.510599,2658.816446,1,1,1
caxpə-3.TextGrid,CaxCV,ə,106.2240664,784.9871814,1867.029056,3098.532827,1,2,0
caxpə-3.TextGrid,CaxCV,a,49.13151365,591.9154031,1521.232075,2763.100517,2,1,1
caxpə-3.TextGrid,CaxCV,ə,87.09677419,547.4870389,1430.591786,2806.918051,2,2,0
caxtə.TextGrid,CaxCV,a,66.86626747,782.00955,1617.893999,2844.785512,1,1,1
caxtə.TextGrid,CaxCV,ə,82.83433134,485.0437258,1334.104919,2867.617775,1,2,0
caxtə.TextGrid,CaxCV,a,64.94845361,650.7307573,1579.24928,2871.910998,2,1,1
caxtə.TextGrid,CaxCV,ə,121.3917526,456.5043166,1303.772807,2829.703737,2,2,0
caxtə-2.TextGrid,CaxCV,a,72.02881152,741.1183706,1715.683224,3038.759993,1,1,1
caxtə-2.TextGrid,CaxCV,ə,152.4609844,654.6075968,1660.131245,2786.90057,1,2,0
caxtə-2.TextGrid,CaxCV,a,120.3208556,687.0762169,1659.928743,2746.485299,2,1,1
caxtə-2.TextGrid,CaxCV,ə,147.5935829,393.7362797,1462.404497,2864.63967,2,2,0
caxtə-3.TextGrid,CaxCV,a,65.96558317,652.7571859,1248.113828,2603.360634,1,1,1
caxtə-3.TextGrid,CaxCV,ə,116.6347992,392.117577,1505.735077,2733.419077,1,2,0
caxtə-3.TextGrid,CaxCV,a,175.739645,697.2565362,1791.680721,2671.538553,2,1,1
caxtə-3.TextGrid,CaxCV,ə,177.5147929,448.9498441,1403.435388,2780.954243,2,2,0
co:tə.TextGrid,CV:CV,o:,122.9357798,535.2776407,1378.144879,2796.235891,1,1,1
co:tə.TextGrid,CV:CV,ə,88.99082569,522.900937606394,1230.65339853029,2924.22918687031,1,2,0
co:tə.TextGrid,CV:CV,o:,94.26433915,461.6122688,959.3697356,2230.78862,2,1,1
co:tə.TextGrid,CV:CV,ə,98.75311721,456.0047135,1329.192273,2897.091899,2,2,0
co:tə-2.TextGrid,CV:CV,o:,143.5897436,546.1431926,1372.757077,2361.3453,1,1,1
co:tə-2.TextGrid,CV:CV,ə,128.2051282,520.0429736,1494.635989,2801.238254,1,2,0
co:tə-2.TextGrid,CV:CV,,,,,,2,1,1
co:tə-2.TextGrid,CV:CV,,,,,,2,2,0
co:tə-3.TextGrid,CV:CV,o:,141.9878296,535.7138904,1395.544487,2427.718043,1,1,1
co:tə-3.TextGrid,CV:CV,ə,150.1014199,536.9866002,1430.274024,2797.94244,1,2,0
co:tə-3.TextGrid,CV:CV,o:,166.3043478,588.2695106,1536.801632,2527.072911,2,1,1
co:tə-3.TextGrid,CV:CV,ə,146.7391304,541.109332,1725.812151,3020.388693,2,2,0
cʌhəx.TextGrid,CVCax,ə,56.15942029,1044.885813,2022.491233,3121.775037,1,1,0
cʌhəx.TextGrid,CVCax,ə,60.6884058,636.5597791,1351.962267,2837.272442,1,2,1
cʌhəx.TextGrid,CVCax,ə,103.8461538,535.1017753,1557.338047,2877.017254,2,1,0
cʌhəx.TextGrid,CVCax,ə,128.2051282,562.4448272,1279.128185,2709.087455,2,2,1
cʌhəx-2.TextGrid,CVCax,ə,100.102145,784.2273891,1799.804577,2791.778629,1,1,0
cʌhəx-2.TextGrid,CVCax,ə,74.56588355,777.5983594,1645.327561,2908.014768,1,2,1
cʌhəx-2.TextGrid,CVCax,ə,101.3333333,367.5840852,1354.605676,2653.744169,2,1,0
cʌhəx-2.TextGrid,CVCax,ə,120,598.0380429,1357.061534,2611.816113,2,2,1
cʌtəx.TextGrid,CVCax,ə,38.72216844,537.3240874,1271.768116,3103.208055,1,1,0
cʌhəx.TextGrid,CVCax,ə,79.3804453,693.1110758,1805.075659,3036.035712,1,2,1
cʌtəx.TextGrid,CVCax,ə,61.39534884,479.8785504,1432.378292,2694.211287,2,1,0
cʌhəx.TextGrid,CVCax,ə,115.8139535,582.5052692,1473.283628,2577.304714,2,2,1
cʌtəx-2.TextGrid,CVCax,ə,82.29426434,432.6239363,1407.679401,2574.582344,1,1,0
cʌtəx-2.TextGrid,CVCax,ə,50.70656692,553.4298607,1248.83839,2849.361056,1,2,1
cʌtəx-2.TextGrid,CVCax,ə,67.30038023,611.4295899,1361.006087,2863.051353,2,1,0
cʌtəx-2.TextGrid,CVCax,ə,46.76806084,471.8201603,1068.887579,2649.14166,2,2,1
cətax.TextGrid,CVCax,ə,60.22727273,442.222766,1361.363792,2559.065424,1,1,0
cətax.TextGrid,CVCax,a,151.1363636,724.0776731,1662.641632,2580.302558,1,2,1
cətax.TextGrid,CVCax,ə,32.43243243,375.2518827,1270.8738,2518.954441,2,1,0
cətax.TextGrid,CVCax,a,240,558.9230466,1297.829022,2533.739091,2,2,1
cətax-2.TextGrid,CVCax,ə,31.95488722,508.587706,1632.932197,2932.193921,1,1,0
cətax-2.TextGrid,CVCax,a,106.2030075,688.7054337,1521.795823,2680.223455,1,2,1
cətax-2.TextGrid,CVCax,ə,26.26728111,469.0944285,1357.304261,2696.279881,2,1,0
cətax-2.TextGrid,CVCax,a,147.9262673,732.2208943,1738.61018,2758.063643,2,2,1
co:co:.TextGrid,CV:CV:,o:,131.6872428,499.8860154,1213.653659,2389.753653,1,1,1
co:co:.TextGrid,CV:CV:,o:,144.0329218,451.5276379,1076.656426,2966.282962,1,2,0
co:co:.TextGrid,CV:CV:,o:,144.2553191,433.6967078,1207.954608,2455.11625,2,1,1
co:co:.TextGrid,CV:CV:,o:,213.1914894,455.6477877,1207.03355,2911.896893,2,2,0
co:co:-2.TextGrid,CV:CV:,o:,125.3731343,578.1151634,1439.949286,2643.817517,1,1,1
co:co:-2.TextGrid,CV:CV:,o:,256.7164179,550.559294,1596.97713,2678.251644,1,2,0
co:co:-2.TextGrid,CV:CV:,o:,122.5352113,424.3065023,1144.092862,2475.515427,2,1,1
co:co:-2.TextGrid,CV:CV:,o:,201.7605634,475.4704697,1253.055938,2936.419863,2,2,0
co:co:-3.TextGrid,CV:CV:,o:,131.661442,631.3583941,1638.80565,2428.458741,1,1,1
co:co:-3.TextGrid,CV:CV:,o:,199.5820272,492.5090809,1326.99792,2416.91439,1,2,0
co:co:-3.TextGrid,CV:CV:,o:,187.5,470.4997234,1331.000776,2484.599336,2,1,1
co:co:-3.TextGrid,CV:CV:,o:,254.4642857,428.7293398,1178.548298,2519.364965,2,2,0
cʌpə.TextGrid,CVCV,ə,74.80314961,586.5346771,1383.271442,2878.610356,1,1,1
cʌpə.TextGrid,CVCV,ə,167.3228346,473.8977275,1420.052471,2874.276031,1,2,0
cʌpə.TextGrid,CVCV,ə,59.22746781,439.0143577,1349.789556,2808.353714,2,1,1
cʌpə.TextGrid,CVCV,ə,171.2446352,484.8438421,1350.490758,2841.974484,2,2,0
cʌpə-2.TextGrid,CVCV,ə,50.51546392,438.5343202,1253.46904,2581.064616,1,1,1
cʌpə-2.TextGrid,CVCV,ə,152.5773196,711.4516688,1755.010319,2979.587408,1,2,0
cʌpə-2.TextGrid,CVCV,ə,55.84415584,402.1913984,1164.661871,2713.072753,2,1,1
cʌpə-2.TextGrid,CVCV,ə,181.8181818,505.6642253,1338.859116,2848.618865,2,2,0
cʌpə-3.TextGrid,CVCV,ə,53.34728033,619.2046772,1550.308555,2771.609534,1,1,1
cʌpə-3.TextGrid,CVCV,ə,178.8702929,591.8673449,1611.545752,2684.175972,1,2,0
cʌpə-3.TextGrid,CVCV,ə,84.88372093,581.4162987,1556.201532,2719.26425,2,1,1
cʌpə-3.TextGrid,CVCV,ə,150,719.2351299,1807.762242,2964.542135,2,2,0
da:tə.TextGrid,CV:CV,a:,235.167206,561.1901161,1313.649952,2629.43146,1,1,1
da:tə.TextGrid,CV:CV,ə,145.631068,423.3629032,1531.011077,2919.959806,1,2,0
da:tə.TextGrid,CV:CV,a:,257.8947368,518.0245945,1309.340678,2480.54427,2,1,1
da:tə.TextGrid,CV:CV,ə,57.89473684,463.116248,1149.573916,2800.073367,2,2,0
da:tə-2.TextGrid,CV:CV,a:,210.5778648,618.3992156,1571.581408,2627.056138,1,1,1
da:tə-2.TextGrid,CV:CV,ə,99.90205681,349.222347,1267.499631,2483.981927,1,2,0
da:tə-2.TextGrid,CV:CV,a:,320.3125,560.4207841,1438.516897,2717.285677,2,1,1
da:tə-2.TextGrid,CV:CV,ə,118.75,354.4053813,1354.384442,2818.781783,2,2,0
da:tə-3.TextGrid,CV:CV,a:,189.688716,601.2871639,1677.249599,2667.265441,1,1,1
da:tə-3.TextGrid,CV:CV,ə,135.2140078,342.0704705,1237.446646,2547.492088,1,2,0
da:tə-3.TextGrid,CV:CV,a:,197.5352113,581.4785105,1361.71502,2525.738579,2,1,1
