file,shape,vowel,dur_norm,frame,syllable,stress
caxtəx-3.TextGrid,CaxCax,ə,65.47619048,2,2,0
caxpə.TextGrid,CaxCV,a,54.86725664,1,1,1
caxpə.TextGrid,CaxCV,ə,78.76106195,1,2,0
caxpə.TextGrid,CaxCV,a,67.90540541,2,1,1
caxpə.TextGrid,CaxCV,ə,89.18918919,2,2,0
caxpə-2.TextGrid,CaxCV,a,76.69616519,1,1,1
caxpə-2.TextGrid,CaxCV,ə,157.3254671,1,2,0
caxpə-2.TextGrid,CaxCV,a,87.67123288,2,1,1
caxpə-2.TextGrid,CaxCV,ə,176.7123288,2,2,0
caxpə-3.TextGrid,CaxCV,a,65.56016598,1,1,1
caxpə-3.TextGrid,CaxCV,ə,106.2240664,1,2,0
caxpə-3.TextGrid,CaxCV,a,49.13151365,2,1,1
caxpə-3.TextGrid,CaxCV,ə,87.09677419,2,2,0
caxtə.TextGrid,CaxCV,a,66.86626747,1,1,1
caxtə.TextGrid,CaxCV,ə,82.83433134,1,2,0
caxtə.TextGrid,CaxCV,a,64.94845361,2,1,1
caxtə.TextGrid,CaxCV,ə,121.3917526,2,2,0
caxtə-2.TextGrid,CaxCV,a,72.02881152,1,1,1
caxtə-2.TextGrid,CaxCV,ə,152.4609844,1,2,0
caxtə-2.TextGrid,CaxCV,a,120.3208556,2,1,1
caxtə-2.TextGrid,CaxCV,ə,147.5935829,2,2,0
caxtə-3.TextGrid,CaxCV,a,65.96558317,1,1,1
caxtə-3.TextGrid,CaxCV,ə,116.6347992,1,2,0
caxtə-3.TextGrid,CaxCV,a,175.739645,2,1,1
caxtə-3.TextGrid,CaxCV,ə,177.5147929,2,2,0
coːtə.TextGrid,CVːCV,o:,122.9357798,1,1,1
coːtə.TextGrid,CVːCV,ə,88.99082569,1,2,0
coːtə.TextGrid,CVːCV,o:,94.26433915,2,1,1
coːtə.TextGrid,CVːCV,ə,98.75311721,2,2,0
coːtə-2.TextGrid,CVːCV,o:,143.5897436,1,1,1
coːtə-2.TextGrid,CVːCV,ə,128.2051282,1,2,0
coːtə-2.TextGrid,CVːCV,,0,2,1,1
coːtə-2.TextGrid,CVːCV,,0,2,2,0
coːtə-3.TextGrid,CVːCV,o:,141.9878296,1,1,1
coːtə-3.TextGrid,CVːCV,ə,150.1014199,1,2,0
coːtə-3.TextGrid,CVːCV,o:,166.3043478,2,1,1
coːtə-3.TextGrid,CVːCV,ə,146.7391304,2,2,0
cʌhəx.TextGrid,CVCax,ə,56.15942029,1,1,0
cʌhəx.TextGrid,CVCax,ə,60.6884058,1,2,1
cʌhəx.TextGrid,CVCax,ə,103.8461538,2,1,0
cʌhəx.TextGrid,CVCax,ə,128.2051282,2,2,1
cʌhəx-2.TextGrid,CVCax,ə,100.102145,1,1,0
cʌhəx-2.TextGrid,CVCax,ə,74.56588355,1,2,1
cʌhəx-2.TextGrid,CVCax,ə,101.3333333,2,1,0
cʌhəx-2.TextGrid,CVCax,ə,120,2,2,1
cʌtəx.TextGrid,CVCax,ə,38.72216844,1,1,0
cʌhəx.TextGrid,CVCax,ə,79.3804453,1,2,1
cʌtəx.TextGrid,CVCax,ə,61.39534884,2,1,0
cʌhəx.TextGrid,CVCax,ə,115.8139535,2,2,1
cʌtəx-2.TextGrid,CVCax,ə,82.29426434,1,1,0
cʌtəx-2.TextGrid,CVCax,ə,50.70656692,1,2,1
cʌtəx-2.TextGrid,CVCax,ə,67.30038023,2,1,0
cʌtəx-2.TextGrid,CVCax,ə,46.76806084,2,2,1
cətax.TextGrid,CVCax,ə,60.22727273,1,1,0
cətax.TextGrid,CVCax,a,151.1363636,1,2,1
cətax.TextGrid,CVCax,ə,32.43243243,2,1,0
cətax.TextGrid,CVCax,a,240,2,2,1
cətax-2.TextGrid,CVCax,ə,31.95488722,1,1,0
cətax-2.TextGrid,CVCax,a,106.2030075,1,2,1
cətax-2.TextGrid,CVCax,ə,26.26728111,2,1,0
cətax-2.TextGrid,CVCax,a,147.9262673,2,2,1
coːcoː.TextGrid,CVːCVː,o:,131.6872428,1,1,1
coːcoː.TextGrid,CVːCVː,o:,144.0329218,1,2,0
coːcoː.TextGrid,CVːCVː,o:,144.2553191,2,1,1
coːcoː.TextGrid,CVːCVː,o:,213.1914894,2,2,0
coːcoː-2.TextGrid,CVːCVː,o:,125.3731343,1,1,1
coːcoː-2.TextGrid,CVːCVː,o:,256.7164179,1,2,0
coːcoː-2.TextGrid,CVːCVː,o:,122.5352113,2,1,1
coːcoː-2.TextGrid,CVːCVː,o:,201.7605634,2,2,0
coːcoː-3.TextGrid,CVːCVː,o:,131.661442,1,1,1
coːcoː-3.TextGrid,CVːCVː,o:,199.5820272,1,2,0
coːcoː-3.TextGrid,CVːCVː,o:,187.5,2,1,1
coːcoː-3.TextGrid,CVːCVː,o:,254.4642857,2,2,0
cʌpə.TextGrid,CVCV,ə,74.80314961,1,1,1
cʌpə.TextGrid,CVCV,ə,167.3228346,1,2,0
cʌpə.TextGrid,CVCV,ə,59.22746781,2,1,1
cʌpə.TextGrid,CVCV,ə,171.2446352,2,2,0
cʌpə-2.TextGrid,CVCV,ə,50.51546392,1,1,1
cʌpə-2.TextGrid,CVCV,ə,152.5773196,1,2,0
cʌpə-2.TextGrid,CVCV,ə,55.84415584,2,1,1
cʌpə-2.TextGrid,CVCV,ə,181.8181818,2,2,0
cʌpə-3.TextGrid,CVCV,ə,53.34728033,1,1,1
cʌpə-3.TextGrid,CVCV,ə,178.8702929,1,2,0
cʌpə-3.TextGrid,CVCV,ə,84.88372093,2,1,1
cʌpə-3.TextGrid,CVCV,ə,150,2,2,0
daːtə.TextGrid,CVːCV,a:,235.167206,1,1,1
daːtə.TextGrid,CVːCV,ə,145.631068,1,2,0
daːtə.TextGrid,CVːCV,a:,257.8947368,2,1,1
daːtə.TextGrid,CVːCV,ə,57.89473684,2,2,0
daːtə-2.TextGrid,CVːCV,a:,210.5778648,1,1,1
daːtə-2.TextGrid,CVːCV,ə,99.90205681,1,2,0
daːtə-2.TextGrid,CVːCV,a:,320.3125,2,1,1
daːtə-2.TextGrid,CVːCV,ə,118.75,2,2,0
daːtə-3.TextGrid,CVːCV,a:,189.688716,1,1,1
daːtə-3.TextGrid,CVːCV,ə,135.2140078,1,2,0
daːtə-3.TextGrid,CVːCV,a:,197.5352113,2,1,1
daːtə-3.TextGrid,CVːCV,ə,107.7464789,2,2,0
daːtiː.TextGrid,CVːCVː,a:,215.1515152,1,1,1
daːtiː.TextGrid,CVːCVː,i:,274.7474747,1,2,0
daːtiː.TextGrid,CVːCVː,a:,173.3606557,2,1,1
daːtiː.TextGrid,CVːCVː,i:,300,2,2,0
daːtiː-2.TextGrid,CVːCVː,a:,217.8571429,1,1,1
daːtiː-2.TextGrid,CVːCVː,i:,332.1428571,1,2,0
daːtiː-2.TextGrid,CVːCVː,a:,143.0232558,2,1,1
daːtiː-2.TextGrid,CVːCVː,i:,224.127907,2,2,0
daːtiː-3.TextGrid,CVːCVː,a:,164.3582641,1,1,1
daːtiː-3.TextGrid,CVːCVː,i:,277.0083102,1,2,0
daːtiː-3.TextGrid,CVːCVː,a:,218.6915888,2,1,1
daːtiː-3.TextGrid,CVːCVː,i:,412.1495327,2,2,0
dasəx.TextGrid,CVCax,a,148.2277121,1,1,0
dasəx.TextGrid,CVCax,ə,59.07626208,1,2,1
dasəx.TextGrid,CVCax,a,144.1696113,2,1,0
dasəx.TextGrid,CVCax,ə,48.76325088,2,2,1
dasəx-2.TextGrid,CVCax,a,127.6836158,1,1,0
dasəx-2.TextGrid,CVCax,ə,55.36723164,1,2,1
dasəx-2.TextGrid,CVCax,a,185.7142857,2,1,0
dasəx-2.TextGrid,CVCax,ə,75.71428571,2,2,1
datuː.TextGrid,CVCVː,a,139.275766,1,1,0
datuː.TextGrid,CVCVː,u:,259.9814299,1,2,1
datuː.TextGrid,CVCVː,a,158.4677419,2,1,0
datuː.TextGrid,CVCVː,u:,296.3709677,2,2,1
datuː-2.TextGrid,CVCVː,a,155.1724138,1,1,0
datuː-2.TextGrid,CVCVː,u:,261.4942529,1,2,1
datuː-2.TextGrid,CVCVː,a,175.9717314,2,1,0
datuː-2.TextGrid,CVCVː,u:,206.7137809,2,2,1
datuː-3.TextGrid,CVCVː,a,164.9365629,1,1,0
datuː-3.TextGrid,CVCVː,u:,268.7427912,1,2,1
datuː-3.TextGrid,CVCVː,a,174.1573034,2,1,0
datuː-3.TextGrid,CVCVː,u:,219.1011236,2,2,1
dətax.TextGrid,CVCax,ə,53.25443787,1,1,0
dətax.TextGrid,CVCax,a,160.9467456,1,2,1
dətax.TextGrid,CVCax,ə,56.55737705,2,1,0
dətax.TextGrid,CVCax,a,193.0327869,2,2,1
dətax-2.TextGrid,CVCax,ə,42.71123491,1,1,0
dətax-2.TextGrid,CVCax,a,125.3481894,1,2,1
dətax-2.TextGrid,CVCax,ə,51.42857143,2,1,0
dətax-2.TextGrid,CVCax,a,191.4285714,2,2,1
dətax-3.TextGrid,CVCax,ə,50.84745763,1,1,0
dətax-3.TextGrid,CVCax,a,141.2429379,1,2,1
dətax-3.TextGrid,CVCax,ə,56.09756098,2,1,0
dətax-3.TextGrid,CVCax,a,191.4634146,2,2,1
disəx.TextGrid,CVCax,i,176.5834933,1,1,0
disəx.TextGrid,CVCax,,0,1,2,1
disəx.TextGrid,CVCax,i,185.7692308,2,1,0
disəx.TextGrid,CVCax,ə,26.53846154,2,2,1
diʃəx.TextGrid,CVCax,i,149.0236382,1,1,0
diʃəx.TextGrid,CVCax,ə,53.44295992,1,2,1
diʃəx.TextGrid,CVCax,i,190.9090909,2,1,0
diʃəx.TextGrid,CVCax,ə,91.73553719,2,2,1
doʃəx.TextGrid,CVCax,o,185.0649351,1,1,0
doʃəx.TextGrid,CVCax,ə,40.04329004,1,2,1
doʃəx.TextGrid,CVCax,o,284.6938776,2,1,0
doʃəx.TextGrid,CVCax,ə,64.28571429,2,2,1
doʃəx-2.TextGrid,CVCax,o,181.6386969,1,1,0
doʃəx-2.TextGrid,CVCax,ə,54.29417572,1,2,1
doʃəx-2.TextGrid,CVCax,o,176.344086,2,1,0
doʃəx-2.TextGrid,CVCax,ə,59.13978495,2,2,1
faxtəx.TextGrid,CaxCax,a,76.59574468,1,1,1
faxtəx.TextGrid,CaxCax,ə,64.89361702,1,2,0
faxtəx.TextGrid,CaxCax,a,138.028169,2,1,1
faxtəx.TextGrid,CaxCax,ə,59.15492958,2,2,0
faxtəx-2.TextGrid,CaxCax,a,121.5351812,1,1,1
faxtəx-2.TextGrid,CaxCax,ə,99.14712154,1,2,0
faxtəx-2.TextGrid,CaxCax,a,136.7256637,2,1,1
faxtəx-2.TextGrid,CaxCax,ə,91.59292035,2,2,0
faxtəx-3.TextGrid,CaxCax,a,53.01455301,1,1,1
faxtəx-3.TextGrid,CaxCax,ə,15.59251559,1,2,0
faxtəx-3.TextGrid,CaxCax,a,122.2748815,2,1,1
faxtəx-3.TextGrid,CaxCax,ə,108.056872,2,2,0
faːsəx.TextGrid,CvːCax,a:,164.8351648,1,1,1
faːsəx.TextGrid,CvːCax,ə,22.97702298,1,2,0
faːsəx.TextGrid,CvːCax,a:,235.0230415,2,1,1
faːsəx.TextGrid,CvːCax,ə,76.03686636,2,2,0
faːsəx-2.TextGrid,CvːCax,a:,152.872444,1,1,1
faːsəx-2.TextGrid,CvːCax,ə,57.44888023,1,2,0
faːsəx-2.TextGrid,CvːCax,a:,219.7368421,2,1,1
faːsəx-2.TextGrid,CvːCax,ə,39.47368421,2,2,0
faːsəx-3.TextGrid,CvːCax,a:,162.530024,1,1,1
faːsəx-3.TextGrid,CvːCax,ə,22.41793435,1,2,0
faːsəx-3.TextGrid,CvːCax,a:,180.4270463,2,1,1
faːsəx-3.TextGrid,CvːCax,ə,35.23131673,2,2,0
fatəx.TextGrid,CVCax,a,76.74597084,1,1,0
fatəx.TextGrid,CVCax,ə,25.32617038,1,2,1
fatəx.TextGrid,CVCax,a,129.6943231,2,1,0
fatəx.TextGrid,CVCax,ə,69.43231441,2,2,1
fatəx-2.TextGrid,CVCax,a,139.2265193,1,1,0
fatəx-2.TextGrid,CVCax,ə,71.82320442,1,2,1
fatəx-2.TextGrid,CVCax,a,138.9344262,2,1,0
fatəx-2.TextGrid,CVCax,ə,60.24590164,2,2,1
fatəx-3.TextGrid,CVCax,a,120.6313416,1,1,0
fatəx-3.TextGrid,CVCax,ə,99.210823,1,2,1
fatəx-3.TextGrid,CVCax,a,144,2,1,0
fatəx-3.TextGrid,CVCax,ə,84,2,2,1
fəsuː.TextGrid,CVCVː,ə,62.69270298,1,1,0
fəsuː.TextGrid,CVCVː,u:,309.352518,1,2,1
fəsuː.TextGrid,CVCVː,ə,61.25,2,1,0
fəsuː.TextGrid,CVCVː,u:,300,2,2,1
fəsuː-2.TextGrid,CVCVː,ə,91.51785714,1,1,0
fəsuː-2.TextGrid,CVCVː,u:,367.1875,1,2,1
fəsuː-2.TextGrid,CVCVː,ə,103.8022814,2,1,0
fəsuː-2.TextGrid,CVCVː,u:,217.8707224,2,2,1
fəsuː-3.TextGrid,CVCVː,ə,49.09560724,1,1,0
fəsuː-3.TextGrid,CVCVː,u:,253.2299742,1,2,1
fəsuː-3.TextGrid,CVCVː,ə,81.37651822,2,1,0
fəsuː-3.TextGrid,CVCVː,u:,225.9109312,2,2,1
gaːfəx.TextGrid,CvːCax,a:,192.4398625,1,1,1
gaːfəx.TextGrid,CvːCax,ə,37.80068729,1,2,0
gaːfəx.TextGrid,CvːCax,a:,215.5893536,2,1,1
gaːfəx.TextGrid,CvːCax,ə,53.6121673,2,2,0
gaːfəx-2.TextGrid,CvːCax,a:,244.6700508,1,1,1
gaːfəx-2.TextGrid,CvːCax,ə,52.79187817,1,2,0
gaːfəx-2.TextGrid,CvːCax,a:,293.5344828,2,1,1
gaːfəx-2.TextGrid,CvːCax,ə,90.51724138,2,2,0
gaːfəx-3.TextGrid,CvːCax,a:,220.9543568,1,1,1
gaːfəx-3.TextGrid,CvːCax,ə,70.53941909,1,2,0
gaːfəx-3.TextGrid,CvːCax,a:,204.4067797,2,1,1
gaːfəx-3.TextGrid,CvːCax,ə,72.20338983,2,2,0
gaxtoː.TextGrid,CaxCVː,a,56.48148148,1,1,0
gaxtoː.TextGrid,CaxCVː,o:,219.4444444,1,2,1
gaxtoː.TextGrid,CaxCVː,a,79.33884298,2,1,0
gaxtoː.TextGrid,CaxCVː,o:,171.0743802,2,2,1
gaxtoː-2.TextGrid,CaxCVː,a,108.9536138,1,1,0
gaxtoː-2.TextGrid,CaxCVː,o:,433.6569579,1,2,1
gaxtoː-2.TextGrid,CaxCVː,a,119.7718631,2,1,0
gaxtoː-2.TextGrid,CaxCVː,o:,295.4372624,2,2,1
gaxtoː-3.TextGrid,CaxCVː,a,130.9794989,1,1,0
gaxtoː-3.TextGrid,CaxCVː,o:,291.571754,1,2,1
gaxtoː-3.TextGrid,CaxCVː,a,108.8328076,2,1,0
gaxtoː-3.TextGrid,CaxCVː,o:,224.2902208,2,2,1
gətax.TextGrid,CVCax,ə,44.397463,1,1,0
gətax.TextGrid,CVCax,a,128.9640592,1,2,1
gətax.TextGrid,CVCax,ə,34.30493274,2,1,0
gətax.TextGrid,CVCax,a,111.6591928,2,2,1
gətax-2.TextGrid,CVCax,ə,40.15296367,1,1,0
gətax-2.TextGrid,CVCax,a,125.2390057,1,2,1
gətax-2.TextGrid,CVCax,ə,65.33333333,2,1,0
gətax-2.TextGrid,CVCax,a,173.3333333,2,2,1
gətax-3.TextGrid,CVCax,ə,48.04804805,1,1,0
gətax-3.TextGrid,CVCax,a,108.1081081,1,2,1
gətax-3.TextGrid,CVCax,ə,45.38745387,2,1,0
gətax-3.TextGrid,CVCax,a,143.9114391,2,2,1
hakə.TextGrid,CVCV,a,92.8319624,1,1,1
hakə.TextGrid,CVCV,ə,113.9835488,1,2,0
hakə.TextGrid,CVCV,a,103.6764706,2,1,1
hakə.TextGrid,CVCV,ə,112.5,2,2,0
hakə-2.TextGrid,CVCV,a,74.14448669,1,1,1
hakə-2.TextGrid,CVCV,ə,111.21673,1,2,0
hakə-2.TextGrid,CVCV,a,106.5306122,2,1,1
