file,shape,vowel,F1,F2,F3,frame,syllable,stress
biseach-6,CVCax,i,375.3975692,1436.237759,2749.621496,2,1,0
biseach-6,CVCax,ə,667.4235352,1648.529604,2753.832381,2,2,1
biseach,CVːCV,i,360.1027106,1547.193666,2843.566301,1,1,0
biseach,CVːCV,a,499.2133406,1427.671879,2254.485376,1,2,1
biseach,CVːCV,i,339.8016028,1674.737515,2747.417514,2,1,0
biseach,CVːCV,ə,496.0698023,1322.213595,2628.261178,2,2,1
caaca-2,CVːCV,a,528.0250767,1318.181652,2735.398902,1,1,1
caaca-2,CVːCV,ə,472.6719975,1232.114133,2736.324082,1,2,0
caaca-2,CVːCV,a:,572.5972415,1132.483517,2399.666415,2,1,1
caaca-2,CVːCV,ə,312.0396962,1212.837828,2673.766555,2,2,0
caaca-3,CVːCV,a,686.986582,1529.433963,2573.179493,1,1,1
caaca-3,CVːCV,ə,433.6185936,1427.775286,2758.959793,1,2,0
caaca-3,CVːCV,a:,710.4076308,1597.681911,2712.685893,2,1,1
caaca-3,CVːCV,ə,517.2297418,1632.109487,2902.465381,2,2,0
caaca,CVːCV,a,579.9370467,1134.660274,2447.040766,1,1,1
caaca,CVːCV,ə,482.8657354,1248.150033,2840.440651,1,2,0
caaca,CVːCV,a:,547.8205183,1194.440824,2318.64487,2,1,1
caaca,CVːCV,ə,352.1780345,1242.389694,2861.852358,2,2,0
cachpa-2,CaxCV,a,669.887753,1393.948128,2547.292369,1,1,1
cachpa-2,CaxCV,ə,810.4909551,1850.050497,2902.129324,1,2,0
cachpa-2,CaxCV,a,750.843179,1392.588598,2389.756052,2,1,1
cachpa-2,CaxCV,ə,584.0319165,1507.390367,2809.668905,2,2,0
cachpa-3,CaxCV,a,647.9413289,1608.510599,2658.816446,1,1,1
cachpa-3,CaxCV,ə,784.9871814,1867.029056,3098.532827,1,2,0
cachpa-3,CaxCV,a,591.9154031,1521.232075,2763.100517,2,1,1
cachpa-3,CaxCV,ə,547.4870389,1430.591786,2806.918051,2,2,0
cachpa,CaxCV,a,672.764838,1655.556918,2711.700421,1,1,1
cachpa,CaxCV,ə,539.8751593,1335.618099,2780.821121,1,2,0
cachpa,CaxCV,a,591.918301,1579.300742,2790.024253,2,1,1
cachpa,CaxCV,ə,508.967398,1316.028739,2748.826161,2,2,0
cachta-2,CaxCV,a,741.1183706,1715.683224,3038.759993,1,1,1
cachta-2,CaxCV,ə,654.6075968,1660.131245,2786.90057,1,2,0
cachta-2,CaxCV,a,687.0762169,1659.928743,2746.485299,2,1,1
cachta-2,CaxCV,ə,393.7362797,1462.404497,2864.63967,2,2,0
cachta-3,CaxCV,a,652.7571859,1248.113828,2603.360634,1,1,1
cachta-3,CaxCV,ə,392.117577,1505.735077,2733.419077,1,2,0
cachta-3,CaxCV,a,697.2565362,1791.680721,2671.538553,2,1,1
cachta-3,CaxCV,ə,448.9498441,1403.435388,2780.954243,2,2,0
cachta,CaxCV,a,782.00955,1617.893999,2844.785512,1,1,1
cachta,CaxCV,ə,485.0437258,1334.104919,2867.617775,1,2,0
cachta,CaxCV,a,650.7307573,1579.24928,2871.910998,2,1,1
cachta,CaxCV,ə,456.5043166,1303.772807,2829.703737,2,2,0
cachtach-2,CaxCax,a,666.053638,1483.339727,2671.134597,1,1,1
cachtach-2,CaxCax,ə,543.2570779,1453.655969,2577.812043,1,2,0
cachtach-2,CaxCax,a,795.4553963,1733.845187,2772.963344,2,1,1
cachtach-2,CaxCax,ə,671.8148694,1865.587596,3149.286398,2,2,0
cachtach-3,CaxCax,a,741.1288121,1460.77552,2831.637667,1,1,1
cachtach-3,CaxCax,ə,646.0490861,1665.936541,2852.493401,1,2,0
cachtach-3,CaxCax,a,731.0813109,1616.884072,2793.233296,2,1,1
cachtach-3,CaxCax,ə,575.0398024,1349.927264,2691.800244,2,2,0
cachtach,CaxCax,a,657.2013124,1497.824729,2637.141711,1,1,1
,CaxCax,,,,,1,2,0
cachtach,CaxCax,a,654.8799067,1443.582047,2942.084769,2,1,1
cachtach,CaxCax,ə,518.8622888,1239.256111,2511.186153,2,2,0
cata-2,CVCV,a,615.0707703,1797.127033,2942.720313,1,1,1
cata-2,CVCV,ə,342.8281495,1683.742275,3001.90906,1,2,0
cata-2,CVCV,a,478.5458497,1816.784148,2855.470739,2,1,1
cata-2,CVCV,ə,418.9547608,1788.389437,2927.797202,2,2,0
cata-3,CVCV,a,817.5548391,1959.471691,3046.682624,1,1,1
cata-3,CVCV,ə,509.5271034,1809.300661,2937.600871,1,2,0
cata-3,CVCV,a,600.8142671,1691.867974,2876.990225,2,1,1
cata-3,CVCV,ə,390.7912952,1494.022531,2742.481983,2,2,0
cata,CVCV,a,408.2324927,1730.200904,2835.817979,1,1,1
cata,CVCV,ə,371.4439648,1805.917298,3094.937281,1,2,0
cata,CVCV,a,564.366401,1718.838619,2971.858516,2,1,1
cata,CVCV,ə,314.2740765,1760.70513,2676.746407,2,2,0
catach-2,CVCax,ə,432.6239363,1407.679401,2574.582344,1,1,0
catach-2,CVCax,a,553.4298607,1248.83839,2849.361056,1,2,1
catach-2,CVCax,ə,611.4295899,1361.006087,2863.051353,2,1,0
catach-2,CVCax,ə,471.8201603,1068.887579,2649.14166,2,2,1
catach-3,CVCax,ə,442.222766,1361.363792,2559.065424,1,1,0
catach-3,CVCax,a,724.0776731,1662.641632,2580.302558,1,2,1
catach-3,CVCax,ə,375.2518827,1270.8738,2518.954441,2,1,0
catach-3,CVCax,a,558.9230466,1297.829022,2533.739091,2,2,1
catach-4,CVCax,ə,508.587706,1632.932197,2932.193921,1,1,0
catach-4,CVCax,a,688.7054337,1521.795823,2680.223455,1,2,1
catach-4,CVCax,ə,469.0944285,1357.304261,2696.279881,2,1,0
catach-4,CVCax,a,732.2208943,1738.61018,2758.063643,2,2,1
catach,CVCax,ə,537.3240874,1271.768116,3103.208055,1,1,0
catach,CVCax,a,693.1110758,1805.075659,3036.035712,1,2,1
catach,CVCax,ə,479.8785504,1432.378292,2694.211287,2,1,0
catach,CVCax,ə,582.5052692,1473.283628,2577.304714,2,2,1
coocoo-2,CVːCVː,o:,578.1151634,1439.949286,2643.817517,1,1,1
coocoo-2,CVːCVː,o:,550.559294,1596.97713,2678.251644,1,2,0
