file,vowel,F1,F2,F3,file,vowel,F1,F2,F3,file,vowel,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3
caaca-2,a,528.0250767,1318.181652,2735.398902,caaca-2,ə,472.6719975,1232.114133,2736.324082,caaca-2,a:,572.5972415,1132.483517,2399.666415,caaca-2,closure,708.526638,1872.522221,3344.416438,caaca-2,k burst,647.0140005,1271.041265,2883.660905,caaca-2,_,312.0396962,1212.837828,2673.766555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caaca-3,a,686.986582,1529.433963,2573.179493,caaca-3,ə,433.6185936,1427.775286,2758.959793,caaca-3,a:,710.4076308,1597.681911,2712.685893,caaca-3,closure,737.640113,1580.346786,3001.885482,caaca-3,k burst,824.9157981,1821.367954,3140.527829,caaca-3,_,517.2297418,1632.109487,2902.465381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caaca,a,579.9370467,1134.660274,2447.040766,caaca,ə,482.8657354,1248.150033,2840.440651,caaca,a:,547.8205183,1194.440824,2318.64487,caaca,closure,810.3575713,2041.340853,3296.073534,caaca,k burst,673.4663422,1293.431566,2911.041644,caaca,_,352.1780345,1242.389694,2861.852358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cachpa-2,a,669.887753,1393.948128,2547.292369,cachpa-2,ə,810.4909551,1850.050497,2902.129324,cachpa-2,a,750.843179,1392.588598,2389.756052,cachpa-2,x,924.6518438,2257.123714,3231.879109,cachpa-2,closure,528.0252586,1842.319114,3085.722109,cachpa-2,p burst,597.6706029,1851.255003,3016.142275,cachpa-2,_,584.0319165,1507.390367,2809.668905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cachpa-3,a,647.9413289,1608.510599,2658.816446,cachpa-3,ə,784.9871814,1867.029056,3098.532827,cachpa-3,a,591.9154031,1521.232075,2763.100517,cachpa-3,x,910.380708,1807.270319,2978.190899,cachpa-3,closure,986.3368658,2287.743448,3377.510001,cachpa-3,p burst,621.9793937,1849.156027,3231.606427,cachpa-3,_,547.4870389,1430.591786,2806.918051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cachpa,a,672.764838,1655.556918,2711.700421,cachpa,ə,539.8751593,1335.618099,2780.821121,cachpa,a,591.918301,1579.300742,2790.024253,cachpa,x,907.8851902,1856.323585,3066.195519,cachpa,closure,1053.231545,2468.875608,3705.160314,cachpa,p burst,242.184095,1096.068416,2574.208815,cachpa,_,508.967398,1316.028739,2748.826161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cachta-2,a,741.1183706,1715.683224,3038.759993,cachta-2,ə,654.6075968,1660.131245,2786.90057,cachta-2,a,687.0762169,1659.928743,2746.485299,cachta-2,x,837.1370915,1923.919376,3010.681621,cachta-2,closure,1337.594208,2513.236631,3506.370282,cachta-2,t burst,452.4665185,1484.042968,2947.695903,cachta-2,_,393.7362797,1462.404497,2864.63967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cachta-3,a,652.7571859,1248.113828,2603.360634,cachta-3,ə,392.117577,1505.735077,2733.419077,cachta-3,a,697.2565362,1791.680721,2671.538553,cachta-3,x,1048.468316,1999.64442,2936.434517,cachta-3,closure,1118.686753,2552.276216,3514.212483,cachta-3,t burst,560.557258,1661.481694,2926.236591,cachta-3,_,448.9498441,1403.435388,2780.954243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cachta,a,782.00955,1617.893999,2844.785512,cachta,ə,485.0437258,1334.104919,2867.617775,cachta,a,650.7307573,1579.24928,2871.910998,cachta,x,1081.222599,2355.429536,3186.995382,cachta,_,1361.240849,2555.715942,3491.95719,cachta,_,456.5043166,1303.772807,2829.703737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cachtach-2,a,666.053638,1483.339727,2671.134597,cachtach-2,ə,543.2570779,1453.655969,2577.812043,cachtach-2,a,795.4553963,1733.845187,2772.963344,cachtach-2,x,892.0398303,1740.195709,3037.251504,cachtach-2,closure,1013.438058,2303.76612,3394.082187,cachtach-2,t burst,366.2905369,1462.444343,2869.576993,cachtach-2,_,671.8148694,1865.587596,3149.286398,cachtach-2,x,1003.417138,2296.677884,3157.257458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
