soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3
daatii-2,d burst,939.489653,2281.865138,3434.112211,daatii-2,a,600.8118046,1575.529903,2662.375988,daatii-2,_,774.2570733,2046.366445,3101.382637,daatii-2,i,326.4706855,1834.660855,2854.692447,daatii-2,d burst,929.4604183,2023.859553,3095.562783,daatii-2,a,501.3499633,1372.401041,2617.339645,daatii-2,_,603.0001886,1922.789849,3186.304462,daatii-2,i,354.2674069,1722.259209,2866.288985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daatii-3,closure,1240.352809,2670.676668,3567.759589,daatii-3,d burst,434.1910218,1459.18121,2609.288488,daatii-3,a,598.2320794,1533.353663,2588.01776,daatii-3,_,990.5959526,2308.812008,3413.949306,daatii-3,i,306.5883628,2032.621767,2987.529032,daatii-3,closure,842.1007557,2370.749322,3436.79424,daatii-3,d burst,394.3886038,1604.992644,2892.114198,daatii-3,a,537.3146324,1384.755295,2588.024462,daatii-3,closure,864.6479197,2402.674285,3433.354327,daatii-3,t burst,680.5740699,2055.454744,3113.565559,daatii-3,i,308.015302,1810.953012,2912.028163,,,,,,,,,,,,,,,,,,,,,,,,,
daatii,closure,1488.926692,2681.357767,3787.488223,daatii,d burst,504.4909741,1497.10718,2929.878991,daatii,a,562.8928125,1320.5714,2686.885466,daatii,closure,795.8837691,2098.601598,3361.389881,daatii,t burst,853.4736594,2338.486582,3423.18439,daatii,i,281.4014918,2174.170662,3108.779405,daatii,closure,1260.833004,2336.98187,3478.409391,daatii,d burst,468.200598,1434.666052,2918.812851,daatii,a,502.6713038,1450.812211,2891.871274,daatii,closure,721.9467856,2113.14721,3525.405086,daatii,t burst,373.0244219,1623.323092,2768.842055,daatii,i,319.7692431,1876.466721,3030.848078,,,,,,,,,,,,,,,,,,,,
dasach-2,closure,862.2895307,2205.129072,3207.461327,dasach-2,d burst,902.2163304,2273.277768,3369.604277,dasach-2,¾,616.4491386,1622.391478,2710.370937,dasach-2,s,1062.685373,2489.642893,3489.373718,dasach-2,_,589.7158135,1448.965589,2580.189466,dasach-2,x,909.0488082,1783.193817,2948.693767,dasach-2,closure,915.8488701,2426.085335,3291.067246,dasach-2,d burst,607.3727317,2051.841488,2916.644332,dasach-2,¾,543.5989649,1554.378956,2836.240244,dasach-2,s,1609.733487,2709.272969,3477.576546,dasach-2,_,517.2063711,1320.105401,2760.990532,dasach-2,x,1021.411146,2146.419313,3146.849147,,,,,,,,,,,,,,,,,,,,
dasach,closure,1188.315352,2394.027272,3336.144697,dasach,d burst,417.7675022,1856.198654,2987.256908,dasach,¾,563.2817628,1596.150773,2764.600352,dasach,s,1118.595759,2526.699436,3460.22985,dasach,_,569.7254028,1441.971901,2664.24638,dasach,x,911.4190045,2252.340121,3159.981444,dasach,closure,1332.58829,2633.628373,3505.432474,dasach,d burst,322.8292421,1628.422133,2673.54547,dasach,¾,606.1250824,1670.796955,2908.679302,dasach,s,1474.200215,2695.30576,3461.754135,dasach,_,541.464352,1468.480752,2826.669264,dasach,x,985.4473218,2439.740739,3272.988702,,,,,,,,,,,,,,,,,,,,
datach-2,closure,1217.188354,2669.299843,3636.85786,datach-2,d burst,327.4392161,1529.456037,2837.688021,datach-2,_,496.5152523,1682.613343,2740.308924,datach-2,closure,975.2553959,2446.752403,3625.74052,datach-2,t burst,547.3241772,1728.517661,2991.216616,datach-2,a,675.9044603,1564.001761,2660.654215,datach-2,x,921.3888546,2135.11844,3205.494733,datach-2,closure,1126.49575,2581.466444,3502.030507,datach-2,d burst,420.9014958,1516.800439,2861.662759,datach-2,_,445.1031954,1505.173809,2279.175987,datach-2,closure,1073.061125,2530.210345,3535.309422,datach-2,t burst,515.7460492,1618.168317,2834.182343,datach-2,a,691.2946527,1532.231957,2440.584913,datach-2,x,841.3975176,1806.437371,3118.000714,,,,,,,,,,
datach-3,closure,730.4906757,2293.427245,3365.15672,datach-3,d burst,343.4705105,1339.008904,2758.524509,datach-3,e,463.0353602,1377.930832,2922.038248,datach-3,closure,1043.961061,2509.334096,3462.587645,datach-3,t burst,1543.196701,2616.8693,3491.777385,datach-3,a,828.1352428,1805.032075,2739.131522,datach-3,x,1006.283699,2444.417151,3303.508849,datach-3,closure,1070.022976,2549.744064,3468.336998,datach-3,d burst,419.5434145,1511.309818,2902.678303,datach-3,_,454.9027528,1350.124164,3020.91388,datach-3,closure,1289.770327,2649.505995,3562.627351,datach-3,t burst,612.4163079,1923.043966,3053.411535,datach-3,a,663.3351997,1610.271624,2841.601308,datach-3,x,1043.385539,2171.729162,3141.057597,,,,,,,,,,
datach,closure,854.3425317,2435.8831,3311.565587,datach,d burst,353.1025263,1533.51346,2937.163482,datach,_,442.3688729,1535.936608,2785.580353,datach,closure,1296.710422,2683.421587,3586.903063,datach,t burst,832.8366862,2203.638137,3196.937672,datach,a,665.8647865,1703.174848,3037.483677,datach,x,1016.596138,2477.091236,3472.612018,datach,closure,1628.860914,2448.148169,3610.821975,datach,d burst,673.0678847,1569.053039,2950.370176,datach,_,387.02778,1360.541544,2905.717613,datach,closure,653.9858765,1952.667501,3203.887882,datach,t burst,841.3755154,2122.331025,3031.049793,datach,a,635.4842199,1514.750526,2851.537078,datach,x,878.7695629,2303.228519,3429.988814,,,,,,,,,,
datuu-2,closure,692.4185167,2350.246246,3209.440749,datuu-2,d burst,342.8430778,1737.167028,2843.428114,datuu-2,¾,625.9781495,1576.260221,2723.872803,datuu-2,_,1026.538903,2313.817318,3395.515801,datuu-2,u,349.2113844,1134.205737,2748.340791,datuu-2,closure,1570.795573,2649.383221,3446.169347,datuu-2,d burst,286.6765801,1643.632047,2693.718347,datuu-2,¾,513.8621307,1529.108292,2967.165468,datuu-2,_,805.0079974,2110.867095,3275.368707,datuu-2,u,346.2523071,1085.759877,2781.236798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datuu-3,closure,1086.999823,2457.155604,3352.353242,datuu-3,d burst,349.5119328,1741.838845,3072.735104,datuu-3,¾,637.8570678,1677.834675,2931.385048,datuu-3,_,900.7277681,2297.228969,3397.004097,datuu-3,u,456.9619966,1341.756979,2567.359017,datuu-3,closure,1211.316988,2585.606074,3293.504476,datuu-3,d burst,339.6799412,1669.752223,2890.227383,datuu-3,¾,548.4071315,1563.02872,2677.046007,datuu-3,closure,1036.818583,2277.104168,3319.366192,datuu-3,t burst,748.1702454,1941.97322,3138.472867,datuu-3,u,389.5202048,1266.87687,2671.024024,,,,,,,,,,,,,,,,,,,,,,,,,
datuu,closure,1147.026171,2479.396934,3342.362959,datuu,d burst,517.1120811,1908.144687,3163.32776,datuu,¾,634.8057853,1640.603902,2925.172697,datuu,_,1184.210569,2451.011347,3586.201832,datuu,closure,1291.290178,2394.019832,3383.982873,datuu,t burst,791.0561914,1868.679372,3330.038041,datuu,u,368.0268801,1056.416775,2556.271962,datuu,closure,1724.922905,2741.854111,3626.64674,datuu,d burst,492.9844884,1783.57239,3006.309832,datuu,¾,479.8944067,1538.079859,2925.417229,datuu,_,953.8148712,2335.975707,3365.697972,datuu,u,356.6587938,1284.676358,2811.924063,,,,,,,,,,,,,,,,,,,,
deasach,closure,568.0047006,2033.439352,2978.990446,deasach,d burst,1582.471604,2415.739533,3293.352389,deasach,i_,398.8468659,1938.320928,2915.953304,deasach,s,973.7295897,2338.481215,3302.158195,deasach,x,968.0091192,2244.833141,3221.533745,deasach,closure,1422.857998,2724.553997,3463.706161,deasach,d burst,476.4711906,2515.757832,3086.374993,deasach,i_,336.1454494,1780.18123,2844.947009,deasach,s,1253.527782,2612.397632,3602.818556,deasach,_,426.4690808,1006.983716,2923.304633,deasach,x,983.2778596,2605.084407,3487.257472,,,,,,,,,,,,,,,,,,,,,,,,,
diseach,closure,479.6571743,2219.584516,3049.322068,diseach,d burst,889.6417897,1880.174516,3121.912789,diseach,i,355.1025376,1644.020473,2740.300688,diseach,_,1080.171354,2301.712533,3156.050637,diseach,_,530.4476101,1263.724342,2535.350878,diseach,x,903.7298967,2242.462283,3314.781081,diseach,closure,313.8072418,2119.485977,3230.438631,diseach,d burst,760.7673155,2083.071581,3225.273475,diseach,i,354.3197907,1782.091434,2907.243345,diseach,_,1037.098836,2287.030802,3082.156772,diseach,_,512.8786109,1408.020614,2625.16908,diseach,x,1112.08199,2516.333555,3409.579515,,,,,,,,,,,,,,,,,,,,
doseach-2,closure,663.0208875,2172.115874,3215.992954,doseach-2,d burst,376.6148662,1886.804907,3129.327556,doseach-2,o,505.4558198,1514.138909,2837.565092,doseach-2,_,1412.982763,2339.771791,3285.767078,doseach-2,_,578.4300585,1579.70264,2788.445716,doseach-2,x,975.7670887,2458.556567,3293.052446,doseach-2,closure,1807.70514,2867.683265,3542.0559,doseach-2,d burst,879.2183192,1987.869913,2897.540892,doseach-2,o,491.6876558,1487.963451,2787.83324,doseach-2,_,1583.991714,2339.54873,3406.015034,doseach-2,_,446.6182461,1252.034172,2420.346926,doseach-2,x,1046.45939,2351.194189,3108.770154,,,,,,,,,,,,,,,,,,,,
doseach,closure,569.9813846,1732.547886,2980.768724,doseach,d burst,697.5488039,1765.227905,2705.38547,doseach,o,520.9784509,1432.161945,2562.373487,doseach,_,1295.381103,2351.632816,3223.58803,doseach,_,403.7134506,1102.111711,2400.535025,doseach,x,918.9624457,1964.900796,3094.273021,doseach,closure,784.1086665,2415.332428,3384.473128,doseach,d burst,671.8635397,1768.050967,3133.524734,doseach,o,446.8851545,1345.811156,2574.925728,doseach,_,1277.397372,2366.469697,3186.764562,doseach,_,486.1575131,1440.302198,2813.661191,doseach,x,921.0600707,1919.981913,3038.206137,,,,,,,,,,,,,,,,,,,,
faasach-2,f,664.8343933,1874.268309,2944.202607,faasach-2,a,693.5619268,1627.436634,2636.918186,faasach-2,s,1150.840076,2585.232456,3522.869913,faasach-2,_,566.5897009,1348.392518,2417.510858,faasach-2,x,813.8248413,2460.270512,3283.160665,faasach-2,f,511.5410288,1629.298076,2890.363804,faasach-2,a,584.2992931,1345.129043,2421.771379,faasach-2,s,1363.977275,2624.340836,3526.1733,faasach-2,_,367.8570412,923.2177425,3165.670358,faasach-2,x,979.417473,2681.767679,3402.153271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faasach-3,f,653.5708068,2104.491758,3317.158014,faasach-3,a,513.2131663,1128.012037,2509.149078,faasach-3,s,1373.929802,2712.638581,3554.103937,faasach-3,_,647.0140275,1679.17845,3127.507233,faasach-3,x,942.9281839,1729.903115,2979.584801,faasach-3,f,466.1511539,1881.876735,3038.707339,faasach-3,a,528.6940497,1232.05203,2559.499646,faasach-3,s,1296.552658,2605.849365,3480.873804,faasach-3,_,463.9240318,1125.41765,2677.24746,faasach-3,x,957.9175141,1909.175971,2956.339861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faasach,f,762.0009547,1919.153382,3077.842489,faasach,a,618.6895603,1279.725274,2483.849834,faasach,s,1493.587262,2735.72167,3607.018694,faasach,_,507.9096407,960.3904617,3027.879798,faasach,x,909.9322337,1968.632874,2983.515385,faasach,f,402.3598235,1500.837705,2815.46854,faasach,a,551.2763885,1354.292908,2458.909716,faasach,s,1518.754217,2782.16848,3585.114532,faasach,_,524.9548329,1291.558118,2997.048729,faasach,x,985.0303398,2457.933,3174.593592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fachtach-2,f,491.5188402,1613.196619,2871.929994,fachtach-2,a,692.8424249,1480.996903,2694.936219,fachtach-2,x,1287.507912,2395.195683,3319.724901,fachtach-2,closure,1421.279937,2773.826036,3422.334268,fachtach-2,t burst,505.6929122,1652.550271,2879.77236,fachtach-2,_,553.1854322,1376.975897,2353.558034,fachtach-2,x,847.3858913,1876.139901,2982.938123,fachtach-2,f,394.6187257,1365.103506,2867.200537,fachtach-2,a,683.9307532,1509.237537,2822.869761,fachtach-2,x,1223.993896,2458.323055,3208.620401,fachtach-2,closure,1588.761633,2678.763063,3545.274203,fachtach-2,t burst,585.9609478,1695.763492,2997.96185,fachtach-2,_,462.6598987,1225.433641,2483.52466,fachtach-2,x,1027.213327,2482.506891,3378.346958,,,,,,,,,,
fachtach-3,f,601.374437,1881.184058,3007.117343,fachtach-3,a,576.5653123,1297.556802,2954.710584,fachtach-3,x,1012.807975,2164.315624,3247.492658,fachtach-3,closure,1048.829069,2351.13064,3368.835173,fachtach-3,t burst,440.6437528,1582.230566,2936.488082,fachtach-3,_,518.6248642,861.6312238,2095.918146,fachtach-3,x,938.4090772,2158.969187,3102.991332,fachtach-3,f,511.1014486,1703.916249,2859.0373,fachtach-3,a,716.1348248,1437.613329,2789.366067,fachtach-3,x,1110.848066,2213.566496,3076.459702,fachtach-3,closure,1302.947164,2581.864916,3433.422582,fachtach-3,t burst,587.854058,1696.595889,2979.996076,fachtach-3,_,583.2003352,1309.013276,2727.055459,fachtach-3,x,1075.646698,2195.735287,3133.332813,,,,,,,,,,
fachtach,f,378.1713033,1460.620886,2844.131209,fachtach,a,610.1497349,1286.312058,2651.854155,fachtach,x,1188.037019,2349.634514,3401.849233,fachtach,closure,1244.50551,2446.810548,3359.302781,fachtach,t burst,779.9188844,2052.867215,3209.090674,fachtach,_,569.3194481,1565.744749,2841.846802,fachtach,x,949.8453888,2336.769588,3336.533075,fachtach,f,419.7272893,1506.791691,2690.621017,fachtach,a,556.5033933,1309.696571,2495.202601,fachtach,x,1226.137552,2262.659407,3276.172314,fachtach,closure,1212.772534,2238.222743,3180.18243,fachtach,t burst,811.5442886,1837.570554,2907.2292,fachtach,_,522.5858604,1175.521421,2430.806411,fachtach,x,962.7571268,2198.116486,3210.664315,,,,,,,,,,
fatach-2,f,434.1443133,1548.92835,2822.238045,fatach-2,a,607.7422605,1475.863341,2672.339002,fatach-2,closure,860.5408003,2187.875115,3176.80974,fatach-2,t burst,464.198076,1861.557831,2776.30956,fatach-2,_,631.5007977,1789.798994,2844.357051,fatach-2,x,944.2287991,2125.722023,3207.923102,fatach-2,f,535.962153,1530.61127,2835.976852,fatach-2,a,582.9603716,1569.312723,2897.10404,fatach-2,closure,719.8047576,2396.663166,3243.152534,fatach-2,t burst,406.7953316,1807.987563,2701.412743,fatach-2,_,484.0782935,1254.841674,2560.069125,fatach-2,x,864.298683,1938.591583,3059.824129,,,,,,,,,,,,,,,,,,,,
fatach-3,f,492.8602154,1755.009893,2964.375859,fatach-3,a,585.807283,1520.636375,2556.563513,fatach-3,closure,1221.080848,2808.475766,3464.398146,fatach-3,t burst,818.4793945,1984.558535,2864.425822,fatach-3,_,604.1354207,1734.090069,2915.767362,fatach-3,x,826.1987083,1790.098637,2924.418456,fatach-3,f,552.549443,1755.014979,2878.858711,fatach-3,a,545.3482388,1755.557932,3003.299845,fatach-3,closure,1128.784063,2586.540426,3320.176021,fatach-3,t burst,441.3896546,1817.04727,2680.579466,fatach-3,_,498.9853745,1322.491754,2457.406874,fatach-3,x,962.094966,1953.134011,2688.491279,,,,,,,,,,,,,,,,,,,,
fatach,f,454.1260773,1610.310554,2915.244839,fatach,a,533.6247526,1516.610808,2833.241191,fatach,closure,960.9769808,2345.697604,3303.52687,fatach,t burst,576.5608405,1925.486673,2711.44156,fatach,_,614.365273,1567.926307,2828.156237,fatach,x,938.2905426,1963.516698,3119.470306,fatach,f,376.5697734,1570.34069,2911.285681,fatach,a,512.1972163,1545.966345,2746.062047,fatach,closure,1000.296336,2489.713973,3223.941914,fatach,t burst,1121.986203,2304.537425,3223.804525,fatach,_,573.7131852,1468.870171,2724.087712,fatach,x,1051.702389,2257.012232,3194.736408,,,,,,,,,,,,,,,,,,,,
fosuu-2,f,438.9421174,1493.903705,2801.661601,fosuu-2,_,617.1060022,1479.028328,2539.304868,fosuu-2,s,1550.127439,2687.08717,3621.914508,fosuu-2,u,360.4747718,1148.602638,2754.701817,fosuu-2,f,453.5600804,1364.109316,2596.709636,fosuu-2,_,471.3544808,1464.118369,2744.069361,fosuu-2,s,1356.489235,2614.624629,3507.149568,fosuu-2,u,366.4694892,1249.81378,2589.703317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fosuu-3,f,487.0915516,1642.644653,2826.998128,fosuu-3,_,570.1869558,1656.877644,2623.6408,fosuu-3,s,1403.411713,2638.235812,3551.564676,fosuu-3,u,385.3349578,1333.482455,2693.071959,fosuu-3,f,531.9505415,1728.819241,2950.925378,fosuu-3,_,547.4745628,1435.723202,2635.043619,fosuu-3,s,1276.251936,2520.839736,3445.135457,fosuu-3,u,386.2037441,1267.201261,2512.413925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fosuu,f,414.4803932,1505.733224,2583.333995,fosuu,_,450.5035793,1320.339903,2662.513818,fosuu,s,1529.141765,2650.156163,3615.250017,fosuu,u,288.7049663,1252.749256,2588.866907,fosuu,f,687.838084,1789.967772,2842.999971,fosuu,_,464.3782394,1394.99531,2591.669027,fosuu,s,1431.829443,2661.198516,3604.967937,fosuu,u,351.6071586,1171.500961,2742.118651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaafach-2,closure,325.4699527,1212.522648,2907.927287,gaafach-2,g burst,732.8317333,1814.111935,3224.680633,gaafach-2,a,477.936827,1366.628015,2437.463789,gaafach-2,f,359.6329305,1439.562941,2608.041879,gaafach-2,_,526.9476273,1224.114765,2507.37926,gaafach-2,x,907.0453136,2128.958421,3224.546287,gaafach-2,closure,370.3526143,1395.133346,2637.289424,gaafach-2,g burst,713.3902627,1568.281487,2931.698805,gaafach-2,a,476.4352845,1450.936056,2541.099447,gaafach-2,f,371.9745504,1277.661992,2639.286326,gaafach-2,_,569.5726784,1340.55725,2678.792875,gaafach-2,x,964.0550577,2434.44865,3364.214859,,,,,,,,,,,,,,,,,,,,
gaafach-3,closure,356.0883827,1198.470753,2812.824783,gaafach-3,g burst,416.7509237,1227.239626,2874.899438,gaafach-3,a,595.949204,1557.546289,2605.891775,gaafach-3,f,539.4870163,1768.297714,2810.134064,gaafach-3,_,618.4527732,1620.700945,2740.657797,gaafach-3,x,891.6144738,2215.296826,3331.250032,gaafach-3,closure,567.045561,1441.481083,2691.49681,gaafach-3,g burst,766.7759435,1510.841689,2822.993001,gaafach-3,a,679.1552032,1405.360553,2694.834664,gaafach-3,f,520.3466091,1809.178748,2885.208598,gaafach-3,_,730.3694724,2022.584882,3325.722053,gaafach-3,x,838.2530915,2104.461552,3327.284068,,,,,,,,,,,,,,,,,,,,
gaafach,closure,293.6904552,1318.186225,2878.507018,gaafach,g burst,907.4536991,2014.275847,3068.894628,gaafach,a,539.917618,1356.519354,2629.220659,gaafach,f,473.9143677,1523.180748,2709.142805,gaafach,_,569.3640204,1051.274802,2534.536203,gaafach,x,880.4416245,1850.977086,3102.238089,gaafach,closure,547.9160092,1724.769771,2981.458377,gaafach,g burst,496.9537444,1184.625079,2897.120131,gaafach,a,565.8081005,1158.573623,2636.009481,gaafach,f,421.8405533,1661.488391,2823.628202,gaafach,_,511.9408411,1169.853068,2693.437253,gaafach,x,928.1548089,2305.576825,3446.971563,,,,,,,,,,,,,,,,,,,,
gachtoo-2,closure,644.1527308,1978.485303,3085.53886,gachtoo-2,g burst,970.6631269,1694.436044,2984.009406,gachtoo-2,a,567.4749974,1458.523228,2747.936512,gachtoo-2,x,982.3999598,1897.783671,2959.560683,gachtoo-2,closure,1340.231528,2712.975742,3536.113369,gachtoo-2,t burst,444.229443,1638.497834,2918.335818,gachtoo-2,o,466.5084927,1336.292933,2681.335452,gachtoo-2,closure,760.6768592,2110.584352,2876.076049,gachtoo-2,g burst,816.4725084,1711.145328,2874.613063,gachtoo-2,a,716.5424736,1739.571122,2905.341187,gachtoo-2,x,1065.874641,2523.2099,3258.04681,gachtoo-2,closure,1102.362135,2522.085481,3435.667887,gachtoo-2,t burst,441.068839,1678.356031,2795.821158,gachtoo-2,o,426.6343704,1168.930974,2630.416952,,,,,,,,,,
gachtoo-3,closure,970.7126459,2524.536384,3467.499694,gachtoo-3,g burst,401.7178541,1452.711638,2747.700554,gachtoo-3,a,697.0509327,1614.64949,2798.399942,gachtoo-3,x,1220.28587,2523.732411,3266.86546,gachtoo-3,closure,1741.579991,2893.235685,3725.240576,gachtoo-3,t burst,738.0926562,1727.350201,2734.143052,gachtoo-3,o,518.8295072,1257.209996,2372.765719,gachtoo-3,closure,426.5824631,1510.80533,3051.666217,gachtoo-3,g burst,631.1429389,1481.373339,2890.059829,gachtoo-3,a,702.455239,1598.308838,2738.708466,gachtoo-3,x,970.9963623,2382.668621,3146.603951,gachtoo-3,closure,1007.879247,2291.733463,3418.41678,gachtoo-3,t burst,409.9487615,1455.232806,2906.713881,gachtoo-3,o,419.6522914,1127.706963,2638.493971,,,,,,,,,,
gachtoo,closure,1327.815919,2595.739589,3508.467171,gachtoo,g burst,871.38096,1467.09245,3054.555173,gachtoo,a,505.3919943,1452.608189,2904.866157,gachtoo,x,1200.349605,2056.092177,3223.44867,gachtoo,closure,1272.823668,2614.88834,3370.380865,gachtoo,t burst,555.9906616,1660.315867,2799.298681,gachtoo,o,403.0912363,1020.712443,2741.128761,gachtoo,closure,1088.564839,2230.192678,3341.013229,gachtoo,g burst,666.8868813,1395.23613,2893.714791,gachtoo,a,644.6759048,1499.216893,2710.956029,gachtoo,x,878.823883,2042.732864,3168.181421,gachtoo,closure,1129.66148,2462.613882,3476.714807,gachtoo,t burst,465.8296193,1565.390971,2750.119191,gachtoo,o,434.0917287,955.4995604,3034.33553,,,,,,,,,,
gotach-2,closure,436.0668494,1472.118229,2933.650763,gotach-2,g burst,569.7424979,1319.370442,2896.555634,gotach-2,_,453.3669716,1593.067392,2936.946029,gotach-2,closure,1234.469241,2551.03842,3521.374746,gotach-2,t burst,846.297964,2227.103814,3173.66221,gotach-2,a,768.3157461,1606.803404,2770.694582,gotach-2,x,989.2152407,1929.398853,3002.712358,gotach-2,closure,715.3700398,1858.911268,2935.252701,gotach-2,g burst,633.6405277,1504.885042,2927.183651,gotach-2,_,424.747916,1404.3153,2857.004213,gotach-2,closure,887.2803965,2280.452151,3327.331743,gotach-2,t burst,672.2278039,1799.787345,3097.183786,gotach-2,a,692.6769302,1745.744076,2941.164919,gotach-2,x,1076.51746,2240.702442,2989.564203,,,,,,,,,,
gotach-3,closure,339.9709106,1374.603067,2900.838034,gotach-3,g burst,683.0626947,1464.040433,3028.883033,gotach-3,_,514.8926715,1612.898714,3074.215322,gotach-3,closure,987.6818928,2514.191532,3428.753914,gotach-3,t burst,797.6315537,2018.585014,3262.878978,gotach-3,a,703.7504028,1613.743557,2895.520504,gotach-3,x,910.0489574,1911.977981,3055.994999,gotach-3,closure,699.2025924,1545.342829,2633.779753,gotach-3,g burst,727.4942893,1421.321898,2725.839302,gotach-3,_,561.1971143,1664.774072,3085.921346,gotach-3,closure,1245.327225,2634.450413,3600.195818,gotach-3,t burst,391.1699946,1625.948417,3022.960981,gotach-3,a,665.4531592,1546.268959,2811.68043,gotach-3,x,1096.065304,2614.536854,3443.669909,,,,,,,,,,
gotach,closure,327.0521235,1328.365908,2725.525325,gotach,g burst,930.9697916,1685.054133,2998.197513,gotach,_,413.5183094,1467.527895,3026.437276,gotach,closure,960.9262368,2248.69668,3372.452845,gotach,t burst,901.6635383,2185.287636,3147.404043,gotach,a,730.4052469,1590.061708,2903.551095,gotach,x,963.4907771,2258.119112,3315.897983,gotach,g burst,736.1182683,1398.093262,2872.414371,gotach,_,444.6404286,1412.719495,2696.796165,gotach,closure,792.4610482,2236.934374,3297.754905,gotach,t burst,375.252217,1566.609035,2970.151189,gotach,a,644.4375036,1483.346467,2655.042581,gotach,x,1090.614741,2641.766192,3508.195423,,,,,,,,,,,,,,,
haca-2,h,1070.447536,1922.038017,2986.969041,haca-2,a,621.9296585,1454.678358,2519.868357,haca-2,closure,708.3860433,1492.684211,2841.066344,haca-2,k burst,835.3504608,1868.674944,2986.371776,haca-2,_,393.4726977,1395.284789,2735.351574,haca-2,h,790.0804899,1571.244583,2734.495299,haca-2,a,566.5494838,1520.487603,2367.961695,haca-2,closure,730.005284,1723.124659,3125.87864,haca-2,k burst,772.3905188,1521.613791,2995.422668,haca-2,_,382.1066351,1261.857835,2667.299831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haca-3,h,1075.469015,1995.452362,3073.341915,haca-3,a,610.2369784,1183.636644,2843.236574,haca-3,closure,639.944398,1605.088044,2974.295991,haca-3,k burst,764.5366782,1513.084479,2883.347612,haca-3,_,460.0272983,1475.823713,2672.596876,haca-3,h,1018.879181,2093.546589,2925.621785,haca-3,a,681.8262565,1513.369351,2765.143165,haca-3,closure,787.2134756,1783.644882,3184.200839,haca-3,k burst,988.496497,1573.791849,2982.693302,haca-3,_,704.9748517,1973.35647,3024.47029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haca,h,1089.064539,2368.560652,3353.822265,haca,a,510.975469,1456.292273,2683.237346,haca,closure,636.4524811,1426.806204,2863.671164,haca,k burst,762.2926935,1515.979513,2948.393299,haca,_,433.9644218,1601.065841,2971.876734,haca,h,569.581098,1846.750041,2976.379209,haca,a,566.5134136,1499.931749,2802.752801,haca,closure,745.6932793,1518.735916,2960.059014,haca,k burst,757.4875777,1502.838794,2927.457695,haca,_,426.9370097,1403.408451,2799.995305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hitach-2,h,557.6447643,2091.766926,2927.359612,hitach-2,i,296.7112594,1546.328541,3025.727999,hitach-2,closure,736.4437134,2362.621249,3282.381228,hitach-2,t burst,627.7269779,1913.067296,2926.969894,hitach-2,_,718.4407312,1667.423538,2855.274909,hitach-2,x,882.2045335,1941.234777,3056.398215,hitach-2,h,596.9858698,2055.697895,2784.08848,hitach-2,i,327.4642608,1598.536786,2741.823145,hitach-2,closure,1366.205575,2522.707428,3297.909408,hitach-2,t burst,686.25585,1991.402198,2876.309244,hitach-2,_,566.0009148,1365.186014,2543.939094,hitach-2,x,996.9142359,2419.665263,3415.442898,,,,,,,,,,,,,,,,,,,,
hitach-3,h,603.6596832,1997.310287,3087.471972,hitach-3,i,338.4215785,1796.911688,2991.157033,hitach-3,closure,1015.06288,2325.141918,3260.120711,hitach-3,t burst,906.4000506,2146.925439,3056.095279,hitach-3,_,596.5599317,1625.799807,2940.865052,hitach-3,x,874.2887144,1640.471301,2796.378505,hitach-3,h,532.651266,1971.209264,2783.982164,hitach-3,i,372.1016108,1428.303968,2733.233474,hitach-3,closure,1317.512613,2619.913083,3246.013403,hitach-3,t burst,604.9254681,1745.757185,2710.158921,hitach-3,_,558.1357452,1370.638515,2638.277059,hitach-3,x,1028.988854,2116.524408,2973.937351,,,,,,,,,,,,,,,,,,,,
