soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3
bachto,closure,179.6449307,1154.539833,2757.582665,bachto,b burst,388.4219775,1303.213354,2687.744797,bachto,a,653.0253182,1461.84703,2622.489139,bachto,x,1088.068514,2758.719858,3574.726322,bachto,closure,1550.415727,2821.383674,3630.941762,bachto,t burst,661.2443621,1746.564213,2847.592215,bachto,o,486.2345251,1311.999715,2693.715066,bachto,closure,374.0241736,1424.63743,2833.451475,bachto,b burst,604.3772147,1541.885079,2747.162722,bachto,a,697.31652,1534.032762,2567.665257,bachto,x,1007.515657,2577.166443,3477.668253,bachto,_,1365.743878,2540.601983,3494.052506,bachto,o,438.7483723,1264.374008,2640.669197,,,,,,,,,,,,,,,
bachtuu-2,closure,202.8095691,1495.155973,2955.299773,bachtuu-2,b burst,568.9779678,1389.796478,2383.069067,bachtuu-2,a,678.5988299,1427.742326,2758.848626,bachtuu-2,x,938.9113666,2104.934017,3289.994139,bachtuu-2,_,1230.547008,2565.424281,3427.776032,bachtuu-2,u,370.9091031,1225.069901,2756.57304,bachtuu-2,closure,344.0146818,1557.595922,2923.112233,bachtuu-2,b burst,416.3492399,1523.707001,2750.952433,bachtuu-2,a,700.4561352,1599.275403,2723.157099,bachtuu-2,x,1008.965952,2415.787262,3322.705832,bachtuu-2,_,1123.731089,2337.028474,3388.643101,bachtuu-2,u,383.627284,1252.135754,2741.025575,,,,,,,,,,,,,,,,,,,,
bachtuu-3,closure,170.64445,1373.743347,3013.176771,bachtuu-3,b burst,773.842865,2037.44535,2980.240097,bachtuu-3,a,710.617152,1391.051417,2626.392178,bachtuu-3,x,1144.698055,1802.624349,3048.027091,bachtuu-3,closure,985.3219631,2169.870239,3160.42796,bachtuu-3,t burst,913.0387332,1618.489422,2973.600563,bachtuu-3,u,403.393293,1260.846146,2818.442719,bachtuu-3,closure,371.1852714,1603.804046,2900.971634,bachtuu-3,b burst,391.7568291,1512.611533,2657.254433,bachtuu-3,a,609.6426426,1565.083528,2739.294096,bachtuu-3,x,924.2768477,2057.612808,3027.806029,bachtuu-3,_,1097.867338,2416.152307,3284.160811,bachtuu-3,u,396.7184352,1372.983269,2529.432638,,,,,,,,,,,,,,,
bachtuu,closure,244.4420383,1779.92827,3175.356127,bachtuu,b burst,534.2168793,1342.272054,2755.182953,bachtuu,a,673.4026548,1375.859621,2706.672559,bachtuu,x,1066.291754,2153.098806,3226.223848,bachtuu,closure,1030.13522,2454.414993,3494.164705,bachtuu,t burst,777.2134327,1882.063897,3006.632926,bachtuu,u,343.145946,1102.559388,2901.513115,bachtuu,closure,910.9135048,2211.633864,3393.75161,bachtuu,b burst,496.5065346,1555.914545,2735.656271,bachtuu,a,589.448946,1378.083268,2668.343542,bachtuu,x,1136.748306,2401.109786,3279.721122,bachtuu,closure,1094.721634,2581.227867,3482.748907,bachtuu,t burst,402.8615908,1594.262304,2968.012517,bachtuu,u,357.9932013,1043.657269,2987.151986,,,,,,,,,,
bahuu-2,closure,228.1078705,1566.873208,3027.50161,bahuu-2,b burst,613.3524952,1603.340214,2693.985887,bahuu-2,¾,617.3926137,1560.719883,2785.25591,bahuu-2,h,723.1292378,1866.928121,3121.02394,bahuu-2,u,499.5916107,1428.473494,2565.212065,bahuu-2,closure,347.7353581,1506.074469,2929.151839,bahuu-2,b burst,381.2573418,1356.806492,2404.578546,bahuu-2,¾,599.0596424,1541.702338,2660.176542,bahuu-2,h,465.8701693,1603.592116,2730.101498,bahuu-2,u,416.7870471,1200.66209,2579.133869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bahuu-3,closure,184.2618922,1075.954051,2657.789978,bahuu-3,b burst,467.2557267,1469.425825,2566.524944,bahuu-3,¾,584.9942656,1464.127834,2430.49628,bahuu-3,h,811.6633279,2200.648937,3311.147366,bahuu-3,u,485.205282,1313.123828,2582.682405,bahuu-3,closure,824.1699198,1921.900684,3280.932094,bahuu-3,b burst,780.8389113,1779.808646,3096.005902,bahuu-3,¾,636.7623541,1570.969904,2638.495143,bahuu-3,h,501.3913607,1693.366051,2994.992434,bahuu-3,u,316.7034473,1021.859968,2386.416448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bahuu,closure,171.1059875,1442.425632,3018.640409,bahuu,b burst,311.4040329,1336.685466,2622.242689,bahuu,¾,546.8043499,1391.081512,2542.273368,bahuu,h,606.4589201,1903.868676,3159.237336,bahuu,u,343.1572715,1073.340006,2836.849333,bahuu,closure,680.3775736,1994.328739,3205.208023,bahuu,b burst,356.193945,1369.408308,2441.753477,bahuu,¾,571.6831099,1544.64175,2784.346976,bahuu,h?,427.7727235,1495.018153,2811.272452,bahuu,u,372.1041728,1179.765011,2603.175319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bata-2,closure,169.8684335,2449.608409,3334.497677,bata-2,b burst,765.8208507,1895.943593,3065.859775,bata-2,a,640.1094506,1406.890444,2637.217224,bata-2,_,983.2340279,2088.841629,3251.471049,bata-2,_,388.9020074,1462.52624,2679.510923,bata-2,closure,550.8328563,1878.832062,3186.002826,bata-2,b burst,459.4246982,1712.953684,2706.096359,bata-2, a,787.2352274,1563.670184,2868.416361,bata-2,_,921.5127464,2327.19559,3363.917367,bata-2,_,419.0948642,1467.346796,2767.266993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bata-3,closure,362.3791885,1855.687815,3107.537854,bata-3,b burst,765.0361871,1805.647388,3013.435659,bata-3,a,777.0171133,1418.134878,2917.477734,bata-3,_,1200.698868,2409.109967,3404.667728,bata-3,_,365.5293719,1560.378445,2791.453066,bata-3,closure,639.3995993,1712.715086,2998.850663,bata-3,b burst,488.7821322,1470.114304,2749.012716,bata-3,a,817.2460277,1634.041462,2862.73572,bata-3,_,996.6739715,2268.767163,3370.684022,bata-3,_,455.2879913,1640.836598,2931.503518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bata,closure,172.8611194,1673.880775,3097.087926,bata,b burst,1134.686516,1967.964571,3376.645479,bata,a,594.5452301,1326.563499,2501.416937,bata,_,900.1308706,2218.734156,3253.408308,bata,_,617.9423362,1733.776722,2859.665932,bata,closure,334.3307872,1457.271264,2929.818147,bata,b burst,428.7025845,1532.606159,2490.511563,bata,a,569.935178,1481.786477,2690.011895,bata,_,990.7591021,2312.418358,3403.677208,bata,_,381.2326869,1217.515621,2520.153921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
