File,1-O1_closure,Normalized,1-O1_burst,Normalized,1-V1,Normalized,1-x1,Normalized,1-O2_closure,Normalized,1-O2_remainder,Normalized,1-V2,Normalized,1-x2,Normalized,2-O1_closure,Normalized,2-O1_burst,Normalized,2-V1,Normalized,2-x1,Normalized,2-O2_closure,Normalized,2-O2_remainder,Normalized,2-V2,Normalized,2-x2,Normalized
d_tax.TextGrid,closure,59.17159763,d burst,20.1183432,_,53.25443787,,0,closure,112.4260355,t burst,52.07100592,a,160.9467456,x,286.3905325,closure,44.26229508,d burst,28.27868852,_,56.55737705,,0,closure,100.8196721,t burst,67.62295082,a,193.0327869,x,181.9672131
d_tax-2.TextGrid,closure,41.78272981,d burst,12.99907149,_,42.71123491,,0,closure,105.8495822,t burst,42.71123491,a,125.3481894,x,294.3361188,closure,88.57142857,d burst,45.71428571,_,51.42857143,,0,closure,142.8571429,t burst,70,a,191.4285714,x,200
d_tax-3.TextGrid,closure,38.4180791,d burst,22.59887006,e,50.84745763,,0,closure,111.8644068,t burst,49.71751412,a,141.2429379,x,318.6440678,closure,53.65853659,d burst,23.17073171,_,56.09756098,,0,closure,118.2926829,t burst,64.63414634,a,191.4634146,x,220.7317073
di_s_x.TextGrid,closure,124.7600768,d burst,10.55662188,i_,176.5834933,,0,,0,s,130.5182342,,0,x,353.1669866,closure,73.84615385,d burst,23.07692308,i_,185.7692308,,0,,0,s,203.0769231,_,26.53846154,x,174.2307692
di__x.TextGrid,closure,73.9979445,d burst,28.77697842,i:,149.0236382,,0,,0,_,180.8838643,_,53.44295992,x,168.5508736,closure,142.5619835,d burst,37.19008264,i,190.9090909,,0,,0,_,190.9090909,_,91.73553719,x,167.3553719
do__x.TextGrid,closure,102.8138528,d burst,30.3030303,o:,185.0649351,,0,,0,_,175.3246753,_,40.04329004,x,464.2857143,closure,179.0816327,d burst,39.79591837,o,284.6938776,,0,,0,_,252.5510204,_,64.28571429,x,327.5510204
do__x-2.TextGrid,closure,71.07601185,d burst,12.83316881,o:,181.6386969,,0,,0,_,172.7541955,_,54.29417572,x,241.8558736,closure,25.80645161,d burst,18.27956989,o,176.344086,,0,,0,_,173.1182796,_,59.13978495,x,231.1827957
faxt_x.TextGrid,,0,f,165.9574468,a,76.59574468,x,145.7446809,closure,80.85106383,t burst,27.65957447,_,64.89361702,x,340.4255319,,0,f,178.8732394,a,138.028169,x,129.5774648,closure,119.7183099,t burst,29.57746479,_,59.15492958,x,319.7183099
faxt_x-2.TextGrid,,0,f,141.7910448,a,121.5351812,x,109.8081023,closure,74.62686567,t burst,26.65245203,_,99.14712154,x,311.3006397,,0,f,152.6548673,a,136.7256637,x,124.7787611,closure,112.8318584,t burst,43.80530973,_,91.59292035,x,175.2212389
faxt_x-3.TextGrid,,0,f,264.033264,a,53.01455301,x,117.4636175,closure,123.7006237,t burst,18.71101871,_,15.59251559,x,349.2723493,,0,f,167.7725118,a,122.2748815,x,100.9478673,closure,174.8815166,t burst,32.7014218,_,108.056872,x,149.2890995
